Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
2020,8,Chihuahua,1,Otoño-Invierno,1,Riego,200201,Tonelada,9040000,Trigo forrajero verde,245.63,243.63,2,7005.19,28.75,1413.77,9903727.47
2020,8,Chihuahua,1,Otoño-Invierno,1,Riego,200201,Tonelada,9060000,Semilla de trigo grano,1309.9,1309.9,0,6318.37,4.82,5437.17,34354051.81
2020,8,Chihuahua,1,Otoño-Invierno,1,Riego,200201,Tonelada,9090000,Triticale forrajero en verde,1959.94,1959.94,0,63658.47,32.48,511.02,32530751.34
2020,8,Chihuahua,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,2988.24,2988.24,0,94989.85,31.79,458.97,43597491.45
2020,8,Chihuahua,1,Otoño-Invierno,2,Temporal,200201,Tonelada,9040000,Trigo forrajero verde,335.33,335.33,0,2419.57,7.22,495.81,1199647
2020,8,Chihuahua,1,Otoño-Invierno,2,Temporal,200201,Tonelada,15050000,Pastos y praderas,10.64,10.64,0,243.83,22.92,376.75,91862.95
2020,8,Chihuahua,2,Primavera-Verano,1,Riego,200201,Tonelada,1510000,Semilla de cacahuate,157.72,157.72,0,444.3,2.82,16751.69,7442775.87
2020,8,Chihuahua,2,Primavera-Verano,1,Riego,200201,Tonelada,5640000,Betabel,2.8,2.8,0,41.53,14.83,5500,228415
2020,8,Chihuahua,2,Primavera-Verano,1,Riego,200201,Tonelada,5690000,Cacahuate,6622.17,6622.17,0,22582.17,3.41,12693.08,286637290.4
2020,8,Chihuahua,2,Primavera-Verano,1,Riego,200201,Tonelada,5760000,Calabaza,139.67,139.67,0,2152.3,15.41,8079.33,17389141.96
2020,8,Chihuahua,2,Primavera-Verano,1,Riego,200201,Tonelada,5790000,Camote,185.19,185.19,0,4622.02,24.96,8491.48,39247790.39
2020,8,Chihuahua,2,Primavera-Verano,1,Riego,200201,Tonelada,6190000,Cilantro,6.72,6.72,0,69.36,10.32,8050,558348
2020,8,Chihuahua,2,Primavera-Verano,1,Riego,200201,Tonelada,6310000,Col (repollo),18.19,18.19,0,420.97,23.14,3171.89,1335270.53
2020,8,Chihuahua,2,Primavera-Verano,1,Riego,200201,Tonelada,6670000,Espinaca,5,5,0,19.76,3.95,2500,49400
2020,8,Chihuahua,2,Primavera-Verano,1,Riego,200201,Tonelada,6850000,Semilla de frijol,22.41,22.41,0,44.3,1.98,13500,598050
2020,8,Chihuahua,2,Primavera-Verano,1,Riego,200201,Tonelada,7500000,Semilla de maíz grano,168.07,168.07,0,1046.58,6.23,11475,12009505.5
2020,8,Chihuahua,2,Primavera-Verano,1,Riego,200201,Tonelada,8110000,Semilla de papa,202.22,202.22,0,7357.65,36.38,12467.39,91730692.03
2020,8,Chihuahua,2,Primavera-Verano,1,Riego,200201,Tonelada,8240000,Perejil,1.12,1.12,0,11.21,10.01,7500,84075
2020,8,Chihuahua,2,Primavera-Verano,1,Riego,200201,Tonelada,8490000,Rábano,1.4,1.4,0,12.11,8.65,9100,110201
2020,8,Chihuahua,2,Primavera-Verano,1,Riego,200201,Tonelada,8840000,Semilla de soya,600.29,600.29,0,1809.7,3.01,12461.25,22551124.13
2020,8,Chihuahua,2,Primavera-Verano,1,Riego,200201,Tonelada,9040000,Trigo forrajero verde,100.51,100.51,0,2980.27,29.65,435,1296417.45
2020,8,Chihuahua,2,Primavera-Verano,2,Temporal,200201,Tonelada,5520000,Semilla de avena grano,350.2,350.2,0,733.84,2.1,7314.26,5367496.56
2020,8,Chihuahua,2,Primavera-Verano,2,Temporal,200201,Tonelada,5690000,Cacahuate,69.86,69.86,0,58,0.83,12567.42,728910.36
2020,8,Chihuahua,2,Primavera-Verano,2,Temporal,200201,Tonelada,5760000,Calabaza,16.56,14.56,2,219.8,15.1,4683.33,1029395.93
2020,8,Chihuahua,2,Primavera-Verano,2,Temporal,200201,Tonelada,6850000,Semilla de frijol,215.27,215.27,0,151.07,0.7,15969.92,2412575.81
2020,8,Chihuahua,3,Perennes,1,Riego,200201,Tonelada,6010000,Cereza,23.93,23.93,0,51.79,2.16,73245.68,3793393.77
2020,8,Chihuahua,3,Perennes,1,Riego,200201,Tonelada,6020000,Chabacano,3.36,3.36,0,12.19,3.63,14000,170660
2020,8,Chihuahua,3,Perennes,1,Riego,200201,Tonelada,7150000,Higo,3,0,0,0,0,0,0
2020,8,Chihuahua,3,Perennes,1,Riego,200201,Tonelada,7690000,Membrillo,44.06,44.06,0,538.22,12.22,8212.61,4420190.95
2020,8,Chihuahua,3,Perennes,1,Riego,200201,Tonelada,8010000,Orégano,22.18,14.18,8,27.75,1.96,29378.79,815261.42
2020,8,Chihuahua,3,Perennes,1,Riego,200201,Tonelada,8330000,Pistache,260.45,260.45,0,102.97,0.4,118873.21,12240374.43
2020,8,Chihuahua,3,Perennes,1,Riego,200201,Tonelada,15050000,Pastos y praderas,709.27,681.27,28,20827.99,30.57,419.14,8729843.73
2020,8,Chihuahua,3,Perennes,1,Riego,200206,Planta,1000000,Viveros de manzana,36.67,36.67,0,1162017.59,31688.51,58.32,67771703.89
2020,8,Chihuahua,3,Perennes,1,Riego,200206,Planta,1200000,Viveros de nuez,54.17,54.17,0,2208123.35,40762.85,200.36,442425895.1
2020,8,Chihuahua,3,Perennes,1,Riego,200206,Planta,9900000,Viveros de durazno,3,3,0,59718.33,19906.11,27.33,1632301.11
2020,9,Ciudad de México,1,Otoño-Invierno,1,Riego,200201,Tonelada,5010000,Acelga,22.74,22.74,0,427.31,18.79,5179.41,2213213.69
2020,9,Ciudad de México,1,Otoño-Invierno,1,Riego,200201,Tonelada,5370000,Apio,12.33,12.33,0,416.41,33.77,5748.94,2393916.11
2020,9,Ciudad de México,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,7.1,7.1,0,117.43,16.54,7517.42,882770.63
2020,9,Ciudad de México,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),1.12,1.12,0,18.83,16.81,6250,117687.5
2020,9,Ciudad de México,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,39.52,39.52,0,609.71,15.43,5469.73,3334949.08
2020,9,Ciudad de México,1,Otoño-Invierno,1,Riego,200201,Tonelada,9170000,Verdolaga,87.95,87.95,0,1228.38,13.97,5895.82,7242307.37
2020,9,Ciudad de México,1,Otoño-Invierno,1,Riego,200206,Planta,5780000,Calancoe,7.8,7.8,0,824473.45,105701.72,11.46,9451365.63
2020,9,Ciudad de México,1,Otoño-Invierno,1,Riego,200206,Planta,6210000,Cineraria,6.22,6.22,0,631634.75,101549,12.04,7603216.02
2020,9,Ciudad de México,1,Otoño-Invierno,1,Riego,200206,Planta,6460000,Cyclamen,5.67,5.67,0,691315.34,121925.1,22.54,15579943.47
2020,9,Ciudad de México,1,Otoño-Invierno,1,Riego,200206,Planta,6910000,Geranio,12.1,12.1,0,1132572.68,93601.05,11.95,13539066.87
2020,9,Ciudad de México,1,Otoño-Invierno,1,Riego,200206,Planta,8205000,Pensamiento,6.37,6.37,0,602133.5,94526.45,9.44,5686147.32
2020,9,Ciudad de México,1,Otoño-Invierno,1,Riego,200206,Planta,8270000,Petunia,7.03,7.03,0,547471.76,77876.5,13.33,7295973.69
2020,9,Ciudad de México,1,Otoño-Invierno,2,Temporal,200201,Tonelada,6070000,Chícharo,14,14,0,36.95,2.64,13962.13,515900.7
2020,9,Ciudad de México,2,Primavera-Verano,1,Riego,200201,Tonelada,5010000,Acelga,28.27,28.27,0,505.25,17.87,5436.2,2746640.05
