Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Preciomediorural,Valorproduccion
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5640000,Betabel,130.18,129.51,0.90,2166.74,16.73,8177.67,17718889.82
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5680000,Semilla de brócoli,2.24,2.24,0.00,1.90,0.85,86415.00,164188.50
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,80.29,80.29,0.00,2242.10,27.93,458.35,1027669.77
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,553.55,545.80,7.75,3971.20,7.28,13757.21,54632614.15
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,1334.90,1323.20,11.83,21246.02,16.06,12148.15,258099925.40
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6200000,Semilla de cilantro,95.01,95.01,0.00,118.76,1.25,28374.22,3369722.63
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),250.90,246.90,4.00,6874.19,27.84,5113.76,35152950.23
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6320000,Col de bruselas,855.34,855.34,0.00,13963.46,16.33,15450.85,215747332.90
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6600000,Ejote,42.28,42.28,0.00,307.67,7.28,11259.18,3464112.57
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6620000,Eneldo,87.40,87.40,0.00,659.53,7.55,12325.00,8128707.25
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,621.27,621.27,0.00,10673.19,17.18,7485.84,79897782.59
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7110000,Haba verde,15.00,14.23,1.00,94.76,6.66,6743.31,638995.68
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7270000,Kale,151.29,144.93,6.50,2855.84,19.70,10122.84,28909223.76
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7700000,Menta,14.60,14.60,0.00,195.30,13.38,22060.00,4308318.00
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7780000,Nabo,18.41,18.41,0.00,269.45,14.64,5100.02,1374199.85
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7840000,Napa,10.00,9.50,0.90,236.67,24.91,7314.89,1731215.44
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200217,Metro cuadrado,8150000,Pasto tapete (m2),1.87,1.87,0.00,18853.45,10082.06,65.46,1234130.04
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,8240000,Perejil,180.95,180.95,0.00,3408.16,18.83,13744.76,46844325.79
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,8440000,Poro (leek),130.05,130.05,0.00,2359.19,18.14,7658.93,18068881.29
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,8460000,Quelite,205.77,205.77,0.00,2461.27,11.96,13037.79,32089528.00
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,8490000,Rábano,421.00,406.11,15.00,17710.72,43.61,10175.46,180214660.10
