Anio,Idddr,Idmunicipio,Nommunicipio,Idciclo,Idmodalidad,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
2021,139,48,Puerto Peñasco,3,1,Espárrago,440.0,440.0,0.0,4737.0,10.77,30346.64,143752035.8
2021,139,70,General Plutarco Elías Calles,1,1,Avena forrajera en verde,18.0,18.0,0.0,324.0,18.0,712.35,230801.4
2021,139,70,General Plutarco Elías Calles,1,1,Trigo grano,226.0,226.0,0.0,1152.6,5.1,5790.0,6673554.0
2021,139,70,General Plutarco Elías Calles,2,1,Algodón hueso,90.0,90.0,0.0,351.0,3.9,15745.46,5526656.46
2021,139,70,General Plutarco Elías Calles,2,1,Sorgo forrajero en verde,15.0,15.0,0.0,340.05,22.67,766.18,260539.51
2021,139,70,General Plutarco Elías Calles,3,1,Alfalfa achicalada,750.0,750.0,0.0,14175.0,18.9,2820.16,39975768.0
2021,139,70,General Plutarco Elías Calles,3,1,Espárrago,934.0,927.0,0.0,10567.8,11.4,40376.68,426692678.9
2021,139,17,Caborca,1,1,Avena forrajera en verde,30.0,30.0,0.0,525.0,17.5,695.9,365347.5
2021,139,17,Caborca,1,1,Cebolla,18.0,18.0,0.0,509.94,28.33,4750.0,2422215.0
2021,139,17,Caborca,1,1,Melón,30.0,30.0,0.0,990.0,33.0,7300.0,7227000.0
2021,139,17,Caborca,1,1,Trigo grano,488.0,488.0,0.0,2488.8,5.1,5790.0,14410152.0
2021,139,17,Caborca,2,1,Elote,13.5,13.5,0.0,142.02,10.52,5100.0,724302.0
2021,139,17,Caborca,2,1,Maíz grano,6.0,6.0,0.0,40.02,6.67,6000.0,240120.0
2021,139,17,Caborca,2,1,Melón,125.0,125.0,0.0,4120.0,32.96,6960.56,28677507.2
2021,139,17,Caborca,2,1,Papa,1078.0,1078.0,0.0,45276.0,42.0,7300.0,330514800.0
2021,139,17,Caborca,2,1,Sorgo forrajero en verde,134.0,134.0,0.0,3300.42,24.63,763.05,2518385.48
2021,139,17,Caborca,3,1,Alfalfa achicalada,785.0,785.0,0.0,14805.1,18.86,2790.4,41312151.04
2021,139,17,Caborca,3,1,Durazno,122.0,122.0,0.0,1500.6,12.3,8135.0,12207381.0
2021,139,17,Caborca,3,1,Espárrago,8835.0,8435.0,0.0,91004.0,10.79,40060.97,3645708144.0
2021,139,17,Caborca,3,1,Naranja,93.0,45.0,0.0,845.1,18.78,4428.99,3742939.45
2021,139,17,Caborca,3,1,Nuez,563.0,563.0,0.0,951.47,1.69,93215.79,88692027.71
2021,139,17,Caborca,3,1,Uva,7756.0,7756.0,0.0,88522.83,11.41,26735.54,2366705371.0
2021,139,47,Pitiquito,1,1,Avena forrajera en verde,10.0,10.0,0.0,175.0,17.5,700.0,122500.0
2021,139,47,Pitiquito,1,1,Trigo grano,102.0,102.0,0.0,510.0,5.0,5790.0,2952900.0
2021,139,47,Pitiquito,2,1,Papa,130.0,130.0,0.0,5605.6,43.12,7378.07,41358509.19
2021,139,47,Pitiquito,2,1,Sorgo forrajero en verde,35.0,35.0,0.0,704.9,20.14,765.74,539770.13
2021,139,47,Pitiquito,3,1,Alfalfa achicalada,322.0,322.0,0.0,6050.38,18.79,2803.03,16959396.65
2021,139,47,Pitiquito,3,1,Espárrago,989.0,882.0,0.0,9626.87,10.91,38522.61,370852136.1
2021,139,47,Pitiquito,3,1,Nuez,149.0,109.0,0.0,179.85,1.65,93211.04,16764005.74
2021,139,47,Pitiquito,3,1,Uva,60.0,60.0,0.0,1050.0,17.5,28673.33,30106996.5
2021,139,4,Altar,1,1,Avena forrajera en verde,36.0,36.0,0.0,600.12,16.67,700.0,420084.0
2021,139,4,Altar,1,1,Cártamo,5.0,0.0,5.0,0.0,0.0,0.0,0.0
2021,139,4,Altar,1,1,Trigo grano,288.0,288.0,0.0,1468.8,5.1,5790.0,8504352.0
2021,139,4,Altar,2,1,Papa,2948.0,2948.0,0.0,129770.96,44.02,7622.46,989173951.8
2021,139,4,Altar,2,1,Pepino,80.0,80.0,0.0,9940.0,124.25,7103.59,70609684.6
2021,139,4,Altar,2,1,Sorgo forrajero en verde,46.0,46.0,0.0,1050.18,22.83,791.31,831017.94
2021,139,4,Altar,3,1,Alfalfa achicalada,516.0,516.0,0.0,9628.56,18.66,2773.64,26706159.16
2021,139,4,Altar,3,1,Espárrago,1990.0,1910.0,0.0,18651.0,9.76,39244.67,731952265.2
2021,139,4,Altar,3,1,Nuez,1138.0,1138.0,0.0,1911.84,1.68,92816.95,177451157.7
