Anio,Idddr,Idmunicipio,Nommunicipio,Idciclo,Nommodalidad,Nomunidad,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
2015,139,48,Puerto Peñasco,3,Riego,Tonelada,Espárrago,158.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,139,70,General Plutarco Elías Calles,1,Riego,Tonelada,Trigo grano,1100.0,1100.0,0.0,4870.8,4.43,3400.0,16560720.0
2015,139,70,General Plutarco Elías Calles,2,Riego,Tonelada,Algodón hueso,550.0,550.0,0.0,1567.5,2.85,5950.0,9326625.0
2015,139,70,General Plutarco Elías Calles,2,Riego,Tonelada,Sorgo forrajero en verde,20.0,20.0,0.0,440.0,22.0,740.0,325600.0
2015,139,70,General Plutarco Elías Calles,3,Riego,Tonelada,Alfalfa achicalada,1582.0,1560.0,0.0,21840.0,14.0,2800.0,61152000.0
2015,139,70,General Plutarco Elías Calles,3,Riego,Tonelada,Espárrago,78.0,45.0,0.0,351.0,7.8,31095.24,10914429.24
2015,139,17,Caborca,1,Riego,Tonelada,Avena forrajera en verde,5.0,5.0,0.0,105.0,21.0,935.0,98175.0
2015,139,17,Caborca,1,Riego,Tonelada,Cártamo,104.0,104.0,0.0,312.0,3.0,6200.0,1934400.0
2015,139,17,Caborca,1,Riego,Tonelada,Trigo grano,1489.0,1489.0,0.0,7296.1,4.9,3400.0,24806740.0
2015,139,17,Caborca,1,Riego,Tonelada,Pastos y praderas,61.0,61.0,0.0,1525.0,25.0,940.0,1433500.0
2015,139,17,Caborca,2,Riego,Tonelada,Calabaza,30.0,30.0,0.0,750.0,25.0,5000.0,3750000.0
2015,139,17,Caborca,2,Riego,Tonelada,Melón,414.0,414.0,0.0,10764.0,26.0,5500.0,59202000.0
2015,139,17,Caborca,2,Riego,Tonelada,Papa,1193.0,1193.0,0.0,53685.0,45.0,8527.81,457815479.9
2015,139,17,Caborca,2,Riego,Tonelada,Pepino,11.0,11.0,0.0,1367.12,124.28,6000.0,8202720.0
2015,139,17,Caborca,2,Riego,Tonelada,Sorgo forrajero en verde,110.0,110.0,0.0,3300.0,30.0,900.0,2970000.0
2015,139,17,Caborca,2,Riego,Tonelada,Pastos y praderas,8.0,8.0,0.0,248.0,31.0,880.0,218240.0
2015,139,17,Caborca,3,Riego,Tonelada,Aceituna,1592.0,1575.0,0.0,9450.0,6.0,7208.99,68124955.5
2015,139,17,Caborca,3,Riego,Tonelada,Alfalfa achicalada,1060.0,1032.0,0.0,15067.2,14.6,2800.0,42188160.0
2015,139,17,Caborca,3,Riego,Tonelada,Chabacano,30.0,30.0,0.0,186.0,6.2,9600.0,1785600.0
2015,139,17,Caborca,3,Riego,Tonelada,Dátil,7.0,7.0,0.0,35.0,5.0,40500.0,1417500.0
2015,139,17,Caborca,3,Riego,Tonelada,Durazno,48.0,48.0,0.0,336.0,7.0,11100.0,3729600.0
2015,139,17,Caborca,3,Riego,Tonelada,Espárrago,7660.0,7635.0,0.0,77805.5,10.19,37095.91,2886265826.0
2015,139,17,Caborca,3,Riego,Tonelada,Higo,13.0,13.0,0.0,65.0,5.0,12500.0,812500.0
2015,139,17,Caborca,3,Riego,Tonelada,Naranja,70.0,70.0,0.0,560.0,8.0,3500.0,1960000.0
2015,139,17,Caborca,3,Riego,Tonelada,Nuez,350.0,115.0,0.0,184.0,1.6,52500.0,9660000.0
2015,139,17,Caborca,3,Riego,Tonelada,Uva,7863.0,7815.0,0.0,93476.0,11.96,15287.9,1429051786.0
2015,139,17,Caborca,3,Riego,Tonelada,Pastos y praderas,270.0,270.0,0.0,6912.0,25.6,885.73,6122165.76
2015,139,47,Pitiquito,1,Riego,Tonelada,Avena forrajera en verde,7.0,7.0,0.0,140.0,20.0,920.0,128800.0
2015,139,47,Pitiquito,1,Riego,Tonelada,Cártamo,95.0,95.0,0.0,280.25,2.95,6200.0,1737550.0
2015,139,47,Pitiquito,1,Riego,Tonelada,Trigo grano,186.0,186.0,0.0,930.0,5.0,3400.0,3162000.0
2015,139,47,Pitiquito,1,Riego,Tonelada,Pastos y praderas,15.0,15.0,0.0,345.0,23.0,920.0,317400.0
2015,139,47,Pitiquito,2,Riego,Tonelada,Papa,100.0,100.0,0.0,3700.0,37.0,8545.0,31616500.0
2015,139,47,Pitiquito,2,Riego,Tonelada,Pepino,18.0,18.0,0.0,1932.05,107.34,6000.0,11592300.0
2015,139,47,Pitiquito,2,Riego,Tonelada,Sandía,22.0,22.0,0.0,660.0,30.0,2000.0,1320000.0
2015,139,47,Pitiquito,2,Riego,Tonelada,Sorgo forrajero en verde,20.0,20.0,0.0,560.0,28.0,900.0,504000.0
2015,139,47,Pitiquito,2,Riego,Tonelada,Pastos y praderas,7.0,7.0,0.0,175.0,25.0,890.0,155750.0
2015,139,47,Pitiquito,3,Riego,Tonelada,Aceituna,12.0,12.0,0.0,60.0,5.0,7000.0,420000.0
2015,139,47,Pitiquito,3,Riego,Tonelada,Alfalfa achicalada,290.0,290.0,0.0,4060.0,14.0,2820.0,11449200.0
2015,139,47,Pitiquito,3,Riego,Tonelada,Espárrago,488.0,488.0,0.0,4978.4,10.2,32403.41,161317136.3
2015,139,47,Pitiquito,3,Riego,Tonelada,Uva,33.0,33.0,0.0,495.0,15.0,16800.0,8316000.0
2015,139,47,Pitiquito,3,Riego,Tonelada,Pastos y praderas,84.0,84.0,0.0,2016.0,24.0,920.0,1854720.0
2015,139,4,Altar,1,Riego,Tonelada,Avena forrajera en verde,64.0,64.0,0.0,1280.0,20.0,950.0,1216000.0
2015,139,4,Altar,1,Riego,Tonelada,Cártamo,414.0,414.0,0.0,1200.6,2.9,6200.0,7443720.0
2015,139,4,Altar,1,Riego,Tonelada,Cebada forrajera en verde,31.0,31.0,0.0,651.0,21.0,910.0,592410.0
2015,139,4,Altar,1,Riego,Tonelada,Pepino,24.0,24.0,0.0,3253.98,135.58,6450.0,20988171.0
2015,139,4,Altar,1,Riego,Tonelada,Trigo grano,569.0,569.0,0.0,2816.55,4.95,3400.0,9576270.0
2015,139,4,Altar,1,Riego,Tonelada,Pastos y praderas,27.0,27.0,0.0,648.0,24.0,940.0,609120.0
2015,139,4,Altar,2,Riego,Tonelada,Melón,35.0,35.0,0.0,875.0,25.0,5200.0,4550000.0
2015,139,4,Altar,2,Riego,Tonelada,Papa,1658.0,1658.0,0.0,66320.0,40.0,6927.98,459463633.6
2015,139,4,Altar,2,Riego,Tonelada,Pepino,52.0,52.0,0.0,3405.39,65.49,6855.14,23344435.0
2015,139,4,Altar,2,Riego,Tonelada,Sandía,106.0,106.0,0.0,3074.0,29.0,2600.0,7992400.0
2015,139,4,Altar,2,Riego,Tonelada,Sorgo forrajero en verde,80.0,80.0,0.0,2400.0,30.0,900.0,2160000.0
2015,139,4,Altar,2,Riego,Tonelada,Tomate verde,10.0,10.0,0.0,80.0,8.0,8000.0,640000.0
2015,139,4,Altar,2,Riego,Tonelada,Pastos y praderas,17.0,17.0,0.0,340.0,20.0,900.0,306000.0
2015,139,4,Altar,3,Riego,Tonelada,Alfalfa achicalada,480.0,480.0,0.0,6768.0,14.1,2830.0,19153440.0
2015,139,4,Altar,3,Riego,Tonelada,Dátil,2.0,2.0,0.0,10.4,5.2,39500.0,410800.0
2015,139,4,Altar,3,Riego,Tonelada,Espárrago,395.0,395.0,0.0,3871.0,9.8,33612.24,130112981.0
2015,139,4,Altar,3,Riego,Tonelada,Nuez,1106.9,531.55,0.0,797.33,1.5,47500.0,37873175.0
2015,139,4,Altar,3,Riego,Tonelada,Uva,15.0,15.0,0.0,270.0,18.0,17592.59,4749999.3
2015,139,4,Altar,3,Riego,Tonelada,Pastos y praderas,130.0,130.0,0.0,3250.0,25.0,896.31,2913007.5
2015,139,7,Atil,1,Riego,Tonelada,Cártamo,10.0,10.0,0.0,30.0,3.0,6200.0,186000.0
2015,139,7,Atil,1,Riego,Tonelada,Trigo grano,439.0,439.0,0.0,2107.2,4.8,3400.0,7164480.0
2015,139,7,Atil,1,Riego,Tonelada,Pastos y praderas,92.0,92.0,0.0,2116.0,23.0,900.0,1904400.0
2015,139,7,Atil,2,Riego,Tonelada,Chile verde,8.0,8.0,0.0,64.0,8.0,10000.0,640000.0
2015,139,7,Atil,2,Riego,Tonelada,Maíz grano,3.0,3.0,0.0,16.5,5.5,3500.0,57750.0
2015,139,7,Atil,2,Riego,Tonelada,Sandía,5.0,5.0,0.0,100.0,20.0,2100.0,210000.0
2015,139,7,Atil,3,Riego,Tonelada,Alfalfa achicalada,20.0,20.0,0.0,278.0,13.9,2825.0,785350.0
2015,139,7,Atil,3,Riego,Tonelada,Espárrago,25.0,25.0,0.0,243.0,9.72,33411.53,8119001.79
2015,139,7,Atil,3,Riego,Tonelada,Pastos y praderas,30.0,30.0,0.0,840.0,28.0,907.02,761896.8
2015,139,46,Oquitoa,1,Riego,Tonelada,Avena forrajera en verde,3.0,3.0,0.0,63.0,21.0,930.0,58590.0
2015,139,46,Oquitoa,1,Riego,Tonelada,Cebolla,5.0,5.0,0.0,85.0,17.0,5200.0,442000.0
2015,139,46,Oquitoa,1,Riego,Tonelada,Trigo grano,85.0,85.0,0.0,443.7,5.22,3400.0,1508580.0
2015,139,46,Oquitoa,2,Riego,Tonelada,Sorgo forrajero en verde,15.0,15.0,0.0,375.0,25.0,920.0,345000.0
2015,139,46,Oquitoa,2,Riego,Tonelada,Varios,7.0,7.0,0.0,161.0,23.0,895.9,144239.9
2015,139,60,Sáric,1,Riego,Tonelada,Avena forrajera en verde,28.0,28.0,0.0,563.36,20.12,934.93,526702.16
2015,139,60,Sáric,1,Riego,Tonelada,Trigo grano,53.0,53.0,0.0,282.49,5.33,3400.0,960466.0
2015,139,60,Sáric,1,Riego,Tonelada,Pastos y praderas,36.0,36.0,0.0,828.0,23.0,910.0,753480.0
2015,139,60,Sáric,2,Riego,Tonelada,Frijol,13.0,13.0,0.0,32.5,2.5,8000.0,260000.0
2015,139,60,Sáric,2,Riego,Tonelada,Maíz grano,46.0,46.0,0.0,253.0,5.5,3500.0,885500.0
2015,139,60,Sáric,2,Riego,Tonelada,Sorgo forrajero en verde,100.0,100.0,0.0,2800.0,28.0,909.0,2545200.0
2015,139,60,Sáric,2,Riego,Tonelada,Tomate verde,24.0,24.0,0.0,168.0,7.0,8000.0,1344000.0
2015,139,60,Sáric,3,Riego,Tonelada,Alfalfa achicalada,70.0,70.0,0.0,980.0,14.0,2838.0,2781240.0
2015,139,60,Sáric,3,Riego,Tonelada,Pastos y praderas,20.0,20.0,0.0,500.0,25.0,902.8,451400.0
2015,139,65,Tubutama,1,Riego,Tonelada,Avena forrajera en verde,242.0,242.0,0.0,5324.0,22.0,910.0,4844840.0
2015,139,65,Tubutama,1,Riego,Tonelada,Cebada forrajera en verde,10.0,10.0,0.0,194.3,19.43,920.0,178756.0
2015,139,65,Tubutama,1,Riego,Tonelada,Trigo grano,8.0,8.0,0.0,38.4,4.8,3400.0,130560.0
2015,139,65,Tubutama,1,Riego,Tonelada,Pastos y praderas,237.0,237.0,0.0,5688.0,24.0,870.0,4948560.0
2015,139,65,Tubutama,2,Riego,Tonelada,Sorgo forrajero en verde,500.0,500.0,0.0,14500.0,29.0,893.48,12955460.0
2015,139,65,Tubutama,3,Riego,Tonelada,Alfalfa achicalada,37.0,37.0,0.0,525.4,14.2,2835.0,1489509.0
2015,140,22,Cucurpe,1,Riego,Tonelada,Avena forrajera en verde,71.0,69.0,2.0,1186.8,17.2,776.96,922096.13
2015,140,22,Cucurpe,1,Riego,Tonelada,Cebada forrajera en verde,39.0,39.0,0.0,657.15,16.85,720.0,473148.0
2015,140,22,Cucurpe,1,Riego,Tonelada,Cebolla,2.0,2.0,0.0,140.0,70.0,3100.0,434000.0
2015,140,22,Cucurpe,1,Riego,Tonelada,Pastos y praderas,95.0,95.0,0.0,1638.75,17.25,750.0,1229062.5
2015,140,22,Cucurpe,2,Riego,Tonelada,Cebolla,3.0,3.0,0.0,105.0,35.0,3150.0,330750.0
2015,140,22,Cucurpe,2,Riego,Tonelada,Col (repollo),2.5,2.5,0.0,75.0,30.0,3500.0,262500.0
2015,140,22,Cucurpe,2,Riego,Tonelada,Frijol,6.0,6.0,0.0,15.0,2.5,9513.73,142705.95
2015,140,22,Cucurpe,2,Riego,Tonelada,Sorgo forrajero en verde,170.0,170.0,0.0,3145.0,18.5,927.41,2916704.45
2015,140,22,Cucurpe,2,Temporal,Tonelada,Sorgo forrajero en verde,90.0,90.0,0.0,733.5,8.15,685.0,502447.5
2015,140,22,Cucurpe,3,Riego,Tonelada,Alfalfa achicalada,175.0,175.0,0.0,2485.0,14.2,2160.24,5368196.4
2015,140,22,Cucurpe,3,Riego,Tonelada,Nuez,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,140,35,Imuris,1,Riego,Tonelada,Avena forrajera en verde,45.0,45.0,0.0,810.0,18.0,795.0,643950.0
2015,140,35,Imuris,1,Riego,Tonelada,Cebada forrajera en verde,52.5,52.5,0.0,950.25,18.1,849.52,807256.38
2015,140,35,Imuris,1,Riego,Tonelada,Cebolla,20.0,20.0,0.0,820.0,41.0,3000.0,2460000.0
2015,140,35,Imuris,1,Riego,Tonelada,Cilantro,22.0,22.0,0.0,209.22,9.51,8350.0,1746987.0
2015,140,35,Imuris,1,Riego,Tonelada,Col (repollo),12.0,12.0,0.0,417.64,34.8,3500.0,1461740.0
2015,140,35,Imuris,1,Riego,Tonelada,Pastos y praderas,75.0,75.0,0.0,1338.75,17.85,855.0,1144631.25
2015,140,35,Imuris,1,Temporal,Tonelada,Trigo forrajero verde,25.0,25.0,0.0,183.75,7.35,755.0,138731.25
2015,140,35,Imuris,2,Riego,Tonelada,Berenjena,3.0,3.0,0.0,135.0,45.0,7000.0,945000.0
2015,140,35,Imuris,2,Riego,Tonelada,Calabacita,7.0,7.0,0.0,154.78,22.11,5441.43,842224.54
