Anio,Idddr,Idmunicipio,Nommunicipio,Idciclo,Idmodalidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
2009,139,48,Puerto Peñasco,3,1,6650000,Espárrago,45.0,45.0,0.0,270.0,6.00,36030.0,9728100.0
2009,139,55,San Luis Río Colorado,1,1,5130000,Alcachofa,5.0,5.0,0.0,58.0,11.60,22300.0,1293400.0
2009,139,55,San Luis Río Colorado,1,1,5370000,Apio,64.0,64.0,0.0,1658.35,25.91,4950.0,8208832.5
2009,139,55,San Luis Río Colorado,1,1,5490000,Avena forrajera en verde,24.0,24.0,0.0,528.0,22.00,800.0,422400.0
2009,139,55,San Luis Río Colorado,1,1,5640000,Betabel,27.0,27.0,0.0,324.0,12.00,8100.0,2624400.0
2009,139,55,San Luis Río Colorado,1,1,5670000,Brócoli,80.0,80.0,0.0,1956.0,24.45,10500.0,20538000.0
2009,139,55,San Luis Río Colorado,1,1,5870000,Cártamo,34.0,34.0,0.0,93.5,2.75,5600.0,523600.0
2009,139,55,San Luis Río Colorado,1,1,5940000,Cebolla,920.0,910.0,10.0,10970.0,12.05,10666.36,117010000.0
2009,139,55,San Luis Río Colorado,1,1,6190000,Cilantro,96.0,96.0,0.0,433.92,4.52,13500.0,5857920.0
2009,139,55,San Luis Río Colorado,1,1,6310000,Col (repollo),35.0,35.0,0.0,980.0,28.00,1500.0,1470000.0
2009,139,55,San Luis Río Colorado,1,1,7170000,Hortalizas,25.0,25.0,0.0,178.0,7.12,8350.0,1486300.0
2009,139,55,San Luis Río Colorado,1,1,7270000,Kale,9.0,9.0,0.0,113.0,12.56,7600.0,858800.0
2009,139,55,San Luis Río Colorado,1,1,7330000,Lechuga,68.0,68.0,0.0,1700.0,25.00,4100.0,6970000.0
2009,139,55,San Luis Río Colorado,1,1,8240000,Perejil,60.0,50.0,10.0,284.0,5.68,14500.0,4118000.0
2009,139,55,San Luis Río Colorado,1,1,8440000,Poro (leek),48.0,48.0,0.0,408.0,8.50,15000.0,6120000.0
2009,139,55,San Luis Río Colorado,1,1,8490000,Rábano,98.0,98.0,0.0,704.0,7.18,5200.0,3660800.0
2009,139,55,San Luis Río Colorado,1,1,9050000,Trigo grano,16366.0,16366.0,0.0,103433.12,6.32,3050.69,315542432.0
2009,139,55,San Luis Río Colorado,1,1,9270000,Zanahoria,72.0,72.0,0.0,2016.0,28.00,6100.0,12297600.0
2009,139,55,San Luis Río Colorado,1,1,15050000,Pastos y praderas,38.0,22.0,16.0,528.0,24.00,950.0,501600.0
2009,139,55,San Luis Río Colorado,2,1,5190000,Algodón hueso,2667.0,2660.0,7.0,11372.0,4.28,5800.0,65957600.0
2009,139,55,San Luis Río Colorado,2,1,5940000,Cebolla,440.0,440.0,0.0,3960.0,9.00,13500.0,53460000.0
2009,139,55,San Luis Río Colorado,2,1,6840000,Frijol,3.0,3.0,0.0,5.0,1.67,12000.0,60000.0
2009,139,55,San Luis Río Colorado,2,1,7490000,Maíz grano,88.0,18.0,70.0,65.0,3.61,4000.0,260000.0
2009,139,55,San Luis Río Colorado,2,1,7670000,Melón,25.0,25.0,0.0,515.0,20.60,6000.0,3090000.0
2009,139,55,San Luis Río Colorado,2,1,8710000,Sandía,35.0,35.0,0.0,640.0,18.29,1450.0,928000.0
2009,139,55,San Luis Río Colorado,2,1,8790000,Sorgo forrajero en verde,512.0,512.0,0.0,12288.0,24.00,900.0,11059200.0
2009,139,55,San Luis Río Colorado,2,1,8810000,Sorgo grano,2230.0,2230.0,0.0,10670.0,4.78,3500.0,37345000.0
2009,139,55,San Luis Río Colorado,2,1,8980000,Tomate verde,20.0,20.0,0.0,85.0,4.25,6500.0,552500.0
2009,139,55,San Luis Río Colorado,2,1,15050000,Pastos y praderas,52.0,52.0,0.0,1040.0,20.00,900.0,936000.0
2009,139,55,San Luis Río Colorado,3,1,5160000,Alfalfa achicalada,4600.0,4600.0,0.0,97520.0,21.20,2400.0,234048000.0
2009,139,55,San Luis Río Colorado,3,1,6490000,Dátil,410.0,322.0,0.0,1677.0,5.21,50000.0,83850000.0
2009,139,55,San Luis Río Colorado,3,1,6650000,Espárrago,970.0,970.0,0.0,5820.0,6.00,43924.4,255640008.0
2009,139,55,San Luis Río Colorado,3,1,6870000,Frutales varios,25.0,15.0,0.0,90.75,6.05,2200.0,199650.0
2009,139,55,San Luis Río Colorado,3,1,7850000,Naranja,15.0,12.0,0.0,72.65,6.05,1545.0,112244.25
2009,139,70,General Plutarco Elías Calles,1,1,5490000,Avena forrajera en verde,10.0,10.0,0.0,220.0,22.00,800.0,176000.0
2009,139,70,General Plutarco Elías Calles,1,1,5900000,Cebada forrajera en verde,5.0,5.0,0.0,120.0,24.00,950.0,114000.0
2009,139,70,General Plutarco Elías Calles,1,1,9050000,Trigo grano,1361.0,1361.0,0.0,5430.0,3.99,2900.0,15747000.0
2009,139,70,General Plutarco Elías Calles,1,1,15050000,Pastos y praderas,10.0,10.0,0.0,240.0,24.00,900.0,216000.0
2009,139,70,General Plutarco Elías Calles,2,1,5190000,Algodón hueso,607.0,607.0,0.0,1376.0,2.27,5800.0,7980800.0
2009,139,70,General Plutarco Elías Calles,2,1,5760000,Calabaza,10.0,10.0,0.0,65.0,6.50,4700.0,305500.0
2009,139,70,General Plutarco Elías Calles,2,1,6840000,Frijol,2.0,2.0,0.0,1.0,0.50,12000.0,12000.0
2009,139,70,General Plutarco Elías Calles,2,1,7490000,Maíz grano,36.0,36.0,0.0,151.0,4.19,4100.0,619100.0
2009,139,70,General Plutarco Elías Calles,2,1,7670000,Melón,4.0,4.0,0.0,82.0,20.50,6000.0,492000.0
2009,139,70,General Plutarco Elías Calles,2,1,8210000,Pepino,30.0,30.0,0.0,540.0,18.00,7500.0,4050000.0
2009,139,70,General Plutarco Elías Calles,2,1,8710000,Sandía,13.0,13.0,0.0,130.0,10.00,2000.0,260000.0
2009,139,70,General Plutarco Elías Calles,2,1,8790000,Sorgo forrajero en verde,62.0,62.0,0.0,1488.0,24.00,900.0,1339200.0
2009,139,70,General Plutarco Elías Calles,3,1,5160000,Alfalfa achicalada,1400.0,1374.0,0.0,26882.0,19.56,2200.0,59140400.0
2009,139,17,Caborca,1,1,5490000,Avena forrajera en verde,8.0,8.0,0.0,160.0,20.00,900.0,144000.0
2009,139,17,Caborca,1,1,5870000,Cártamo,20.0,20.0,0.0,55.0,2.75,5600.0,308000.0
2009,139,17,Caborca,1,1,7170000,Hortalizas,10.0,10.0,0.0,71.0,7.10,8100.0,575100.0
2009,139,17,Caborca,1,1,9050000,Trigo grano,2945.0,2945.0,0.0,18612.0,6.32,2900.0,53974800.0
2009,139,17,Caborca,1,1,15050000,Pastos y praderas,180.0,120.0,60.0,2880.0,24.00,950.0,2736000.0
2009,139,17,Caborca,2,1,5490000,Avena forrajera en verde,6.0,6.0,0.0,110.0,18.33,850.0,93500.0
2009,139,17,Caborca,2,1,5760000,Calabaza,15.0,15.0,0.0,123.0,8.20,5000.0,615000.0
2009,139,17,Caborca,2,1,6120000,Chile verde,40.0,40.0,0.0,856.0,21.40,5300.0,4536800.0
2009,139,17,Caborca,2,1,7490000,Maíz grano,41.0,41.0,0.0,172.2,4.20,4000.0,688800.0
2009,139,17,Caborca,2,1,7670000,Melón,62.0,62.0,0.0,1354.7,21.85,6000.0,8128200.0
2009,139,17,Caborca,2,1,8100000,Papa,607.0,607.0,0.0,17950.0,29.57,5000.0,89750000.0
2009,139,17,Caborca,2,1,8210000,Pepino,8.0,8.0,0.0,165.0,20.63,7500.0,1237500.0
2009,139,17,Caborca,2,1,8710000,Sandía,60.5,60.0,0.5,1020.0,17.00,1450.0,1479000.0
2009,139,17,Caborca,2,1,8790000,Sorgo forrajero en verde,190.0,190.0,0.0,4560.0,24.00,900.0,4104000.0
2009,139,17,Caborca,2,1,8810000,Sorgo grano,17.0,17.0,0.0,96.0,5.65,3500.0,336000.0
2009,139,17,Caborca,2,1,9160000,Varios,10.0,0.0,10.0,0.0,0.00,0.0,0.0
2009,139,17,Caborca,2,1,15050000,Pastos y praderas,20.0,20.0,0.0,480.0,24.00,900.0,432000.0
2009,139,17,Caborca,3,1,5000000,Aceituna,2069.0,2069.0,0.0,7856.0,3.80,6500.0,51064000.0
2009,139,17,Caborca,3,1,5160000,Alfalfa achicalada,1200.0,1200.0,0.0,28620.0,23.85,2000.0,57240000.0
2009,139,17,Caborca,3,1,6020000,Chabacano,25.0,16.0,0.0,106.0,6.63,9520.0,1009120.0
2009,139,17,Caborca,3,1,6490000,Dátil,8.0,8.0,0.0,47.6,5.95,42000.0,1999200.0
2009,139,17,Caborca,3,1,6530000,Durazno,117.0,100.0,0.0,636.0,6.36,11500.0,7314000.0
2009,139,17,Caborca,3,1,6650000,Espárrago,4760.0,4735.0,0.0,28410.0,6.00,36036.0,1023782760.0
2009,139,17,Caborca,3,1,7150000,Higo,7.0,7.0,0.0,36.0,5.14,22000.0,792000.0
2009,139,17,Caborca,3,1,7850000,Naranja,204.0,180.0,0.0,1435.37,7.97,1550.0,2224823.5
2009,139,17,Caborca,3,1,7960000,Nuez,155.0,155.0,0.0,214.0,1.38,35000.0,7490000.0
2009,139,17,Caborca,3,1,9130000,Uva,7770.0,7110.0,0.0,66006.0,9.28,13558.52,894943600.0
2009,139,47,Pitiquito,1,1,5490000,Avena forrajera en verde,18.0,18.0,0.0,360.0,20.00,900.0,324000.0
2009,139,47,Pitiquito,1,1,9050000,Trigo grano,488.0,488.0,0.0,2528.0,5.18,2900.0,7331200.0
2009,139,47,Pitiquito,1,1,15050000,Pastos y praderas,64.0,60.0,4.0,1440.0,24.00,950.0,1368000.0
2009,139,47,Pitiquito,2,1,6840000,Frijol,10.0,10.0,0.0,15.5,1.55,12000.0,186000.0
2009,139,47,Pitiquito,2,1,8790000,Sorgo forrajero en verde,22.0,22.0,0.0,528.0,24.00,900.0,475200.0
2009,139,47,Pitiquito,3,1,5160000,Alfalfa achicalada,250.0,250.0,0.0,5963.0,23.85,2200.0,13118600.0
2009,139,47,Pitiquito,3,1,6650000,Espárrago,290.0,290.0,0.0,1740.0,6.00,36036.0,62702640.0
2009,139,47,Pitiquito,3,1,9130000,Uva,45.0,45.0,0.0,580.5,12.90,20000.0,11610000.0
2009,139,4,Altar,1,1,5490000,Avena forrajera en verde,17.0,17.0,0.0,306.0,18.00,900.0,275400.0
2009,139,4,Altar,1,1,5870000,Cártamo,250.0,250.0,0.0,687.5,2.75,5600.0,3850000.0
2009,139,4,Altar,1,1,5900000,Cebada forrajera en verde,84.0,84.0,0.0,1680.0,20.00,950.0,1596000.0
2009,139,4,Altar,1,1,7170000,Hortalizas,30.0,30.0,0.0,213.0,7.10,8150.0,1735950.0
2009,139,4,Altar,1,1,9050000,Trigo grano,1832.0,1832.0,0.0,11578.0,6.32,2900.0,33576200.0
2009,139,4,Altar,1,1,15050000,Pastos y praderas,103.0,100.0,3.0,2200.0,22.00,931.0,2048200.0
2009,139,4,Altar,2,1,6840000,Frijol,10.0,10.0,0.0,15.0,1.50,12000.0,180000.0
2009,139,4,Altar,2,1,7490000,Maíz grano,29.0,29.0,0.0,110.0,3.79,4000.0,440000.0
2009,139,4,Altar,2,1,8100000,Papa,381.0,381.0,0.0,10432.0,27.38,5000.0,52160000.0
2009,139,4,Altar,2,1,8790000,Sorgo forrajero en verde,139.0,139.0,0.0,2780.0,20.00,900.0,2502000.0
2009,139,4,Altar,3,1,5000000,Aceituna,30.0,30.0,0.0,85.0,2.83,6500.0,552500.0
2009,139,4,Altar,3,1,5160000,Alfalfa achicalada,480.0,480.0,0.0,10430.0,21.73,2200.0,22946000.0
2009,139,4,Altar,3,1,6020000,Chabacano,22.0,22.0,0.0,145.2,6.60,9520.0,1382304.0
2009,139,4,Altar,3,1,6650000,Espárrago,425.0,420.0,0.0,2520.0,6.00,36030.0,90795600.0
2009,139,4,Altar,3,1,7850000,Naranja,40.0,40.0,0.0,220.08,5.50,1550.0,341124.0
2009,139,4,Altar,3,1,7960000,Nuez,500.0,110.0,0.0,154.0,1.40,35000.0,5390000.0
2009,139,4,Altar,3,1,9130000,Uva,38.0,38.0,0.0,745.0,19.61,4895.3,3647000.0
2009,139,7,Atil,1,1,5490000,Avena forrajera en verde,5.0,5.0,0.0,90.0,18.00,900.0,81000.0
2009,139,7,Atil,1,1,9050000,Trigo grano,190.0,190.0,0.0,1200.8,6.32,2900.0,3482320.0
2009,139,7,Atil,1,1,15050000,Pastos y praderas,31.0,31.0,0.0,682.0,22.00,931.0,634942.0
2009,139,7,Atil,2,1,8790000,Sorgo forrajero en verde,41.4,41.0,0.4,820.0,20.00,900.0,738000.0
2009,139,7,Atil,3,1,5160000,Alfalfa achicalada,96.0,96.0,0.0,2087.0,21.74,2000.0,4174000.0
2009,139,7,Atil,3,1,7960000,Nuez,5.0,5.0,0.0,6.2,1.24,35000.0,217000.0
2009,139,46,Oquitoa,1,1,9050000,Trigo grano,100.0,100.0,0.0,632.0,6.32,2900.0,1832800.0
2009,139,46,Oquitoa,1,1,15050000,Pastos y praderas,25.0,25.0,0.0,550.0,22.00,931.0,512050.0
2009,139,46,Oquitoa,2,1,8790000,Sorgo forrajero en verde,75.0,75.0,0.0,1800.0,24.00,900.0,1620000.0
2009,139,46,Oquitoa,3,1,5160000,Alfalfa achicalada,25.0,25.0,0.0,544.0,21.76,2200.0,1196800.0
2009,139,60,Sáric,1,1,9050000,Trigo grano,172.0,172.0,0.0,1087.04,6.32,2900.0,3152416.0
2009,139,60,Sáric,1,1,15050000,Pastos y praderas,35.0,35.0,0.0,770.0,22.00,931.0,716870.0
2009,139,60,Sáric,2,1,6840000,Frijol,16.0,14.0,2.0,21.0,1.50,12000.0,252000.0
2009,139,60,Sáric,2,1,8790000,Sorgo forrajero en verde,18.0,18.0,0.0,432.0,24.00,900.0,388800.0
2009,139,60,Sáric,3,1,5160000,Alfalfa achicalada,56.0,56.0,0.0,1217.0,21.73,2000.0,2434000.0
2009,139,65,Tubutama,1,1,5490000,Avena forrajera en verde,249.0,249.0,0.0,4482.0,18.00,900.0,4033800.0
2009,139,65,Tubutama,1,1,5900000,Cebada forrajera en verde,39.0,36.0,3.0,720.0,20.00,950.0,684000.0
2009,139,65,Tubutama,1,1,9040000,Trigo forrajero verde,15.0,10.0,5.0,180.0,18.00,950.0,171000.0
2009,139,65,Tubutama,1,1,9050000,Trigo grano,95.0,95.0,0.0,600.4,6.32,2900.0,1741160.0
2009,139,65,Tubutama,1,1,15050000,Pastos y praderas,205.0,205.0,0.0,4920.0,24.00,931.0,4580520.0
2009,139,65,Tubutama,2,1,7670000,Melón,200.0,200.0,0.0,4370.0,21.85,6000.0,26220000.0
2009,139,65,Tubutama,2,1,8790000,Sorgo forrajero en verde,525.5,525.0,0.5,12075.0,23.00,900.0,10867500.0
2009,139,65,Tubutama,2,1,8810000,Sorgo grano,18.0,18.0,0.0,102.0,5.67,3500.0,357000.0
2009,139,65,Tubutama,2,1,8980000,Tomate verde,10.0,10.0,0.0,65.0,6.50,5000.0,325000.0
2009,139,65,Tubutama,3,1,5160000,Alfalfa achicalada,100.0,100.0,0.0,2173.0,21.73,2000.0,4346000.0
2009,140,22,Cucurpe,1,1,5490000,Avena forrajera en verde,32.0,32.0,0.0,704.0,22.00,500.0,352000.0
2009,140,22,Cucurpe,1,1,5900000,Cebada forrajera en verde,13.0,13.0,0.0,286.0,22.00,500.0,143000.0
2009,140,22,Cucurpe,1,1,5940000,Cebolla,4.0,4.0,0.0,240.0,60.00,2800.0,672000.0
2009,140,22,Cucurpe,1,1,15050000,Pastos y praderas,30.0,30.0,0.0,1080.0,36.00,500.0,540000.0
2009,140,22,Cucurpe,2,1,5760000,Calabaza,4.0,4.0,0.0,48.0,12.00,4000.0,192000.0
2009,140,22,Cucurpe,2,1,6840000,Frijol,8.0,8.0,0.0,8.0,1.00,14000.0,112000.0
2009,140,22,Cucurpe,2,1,7170000,Hortalizas,3.5,3.5,0.0,31.5,9.00,2500.0,78750.0
2009,140,22,Cucurpe,2,1,7490000,Maíz grano,12.0,12.0,0.0,60.0,5.00,3500.0,210000.0
2009,140,22,Cucurpe,2,1,8790000,Sorgo forrajero en verde,87.0,87.0,0.0,2436.0,28.00,500.0,1218000.0
2009,140,22,Cucurpe,2,2,5760000,Calabaza,2.0,2.0,0.0,30.0,15.00,5000.0,150000.0
2009,140,22,Cucurpe,3,1,5160000,Alfalfa achicalada,220.0,220.0,0.0,2640.0,12.00,2200.0,5808000.0
2009,140,22,Cucurpe,3,1,7960000,Nuez,14.0,14.0,0.0,21.0,1.50,25000.0,525000.0
2009,140,35,Imuris,1,1,5490000,Avena forrajera en verde,20.0,20.0,0.0,340.0,17.00,500.0,170000.0
2009,140,35,Imuris,1,1,5900000,Cebada forrajera en verde,6.0,6.0,0.0,102.0,17.00,500.0,51000.0
2009,140,35,Imuris,1,1,5940000,Cebolla,28.0,28.0,0.0,1680.0,60.00,2800.0,4704000.0
2009,140,35,Imuris,1,1,6310000,Col (repollo),4.0,4.0,0.0,140.0,35.00,2000.0,280000.0
2009,140,35,Imuris,1,1,7170000,Hortalizas,8.0,8.0,0.0,72.0,9.00,3000.0,216000.0
2009,140,35,Imuris,1,1,7330000,Lechuga,2.0,2.0,0.0,54.0,27.00,5000.0,270000.0
