Anio,Idddr,Idmunicipio,Nommunicipio,Idciclo,Idmodalidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
2024,149,33,Huatabampo,1,1,6840000,Frijol,300.0,300.0,0.0,684.0,2.28,18153.58,12417048.72
2024,149,33,Huatabampo,1,1,6840000,Frijol,110.0,110.0,0.0,243.1,2.21,18163.79,4415617.35
2024,149,33,Huatabampo,1,1,6900000,Garbanzo grano,38.0,38.0,0.0,85.88,2.26,17500.0,1502900.0
2024,149,33,Huatabampo,1,1,6940000,Girasol,64.0,64.0,0.0,192.0,3.0,7800.0,1497600.0
2024,149,33,Huatabampo,1,1,7490000,Maíz grano,1400.0,1400.0,0.0,16100.0,11.5,5073.34,81680774.0
2024,149,33,Huatabampo,1,1,7670000,Melón,20.0,20.0,0.0,728.0,36.4,6546.7,4765997.6
2024,149,33,Huatabampo,1,1,8100000,Papa,2420.0,2420.0,0.0,79811.6,32.98,8263.19,659498415.0
2024,149,33,Huatabampo,1,1,8810000,Sorgo grano,20.0,20.0,0.0,116.0,5.8,5800.0,672800.0
2024,149,33,Huatabampo,1,1,8970000,Tomate rojo (jitomate),3.0,3.0,0.0,93.99,31.33,6755.32,634932.53
2024,149,33,Huatabampo,1,1,8980000,Tomate verde,400.0,400.0,0.0,8360.0,20.9,6177.03,51639970.8
2024,149,33,Huatabampo,1,1,9050000,Trigo grano,10503.0,10503.0,0.0,62387.82,5.94,6788.6,423525954.9
2024,149,33,Huatabampo,1,1,9050000,Trigo grano,17200.0,17200.0,0.0,86172.0,5.01,5300.0,456711600.0
2024,149,33,Huatabampo,1,1,15050000,Pastos y praderas,150.0,150.0,0.0,4950.0,33.0,870.16,4307292.0
2024,149,33,Huatabampo,2,1,5080000,Ajonjolí,259.0,259.0,0.0,199.43,0.77,23768.0,4740052.24
2024,149,33,Huatabampo,2,1,6940000,Girasol,58.0,58.0,0.0,120.06,2.07,8900.0,1068534.0
2024,149,33,Huatabampo,2,1,8790000,Sorgo forrajero en verde,36.0,36.0,0.0,1100.16,30.56,870.0,957139.2
2024,149,33,Huatabampo,2,1,8970000,Tomate rojo (jitomate),20.0,20.0,0.0,700.0,35.0,8100.0,5670000.0
2024,149,33,Huatabampo,2,1,8980000,Tomate verde,15.0,15.0,0.0,280.05,18.67,6200.0,1736310.0
2024,149,33,Huatabampo,3,1,5050000,Agave,18.0,0.0,0.0,0.0,,,0.0
2024,149,33,Huatabampo,3,1,5060000,Aguacate,8.0,8.0,0.0,128.0,16.0,35200.0,4505600.0
2024,149,33,Huatabampo,3,1,5160000,Alfalfa,839.0,839.0,0.0,57513.45,13.71,2913.49,33512972.29
2024,149,33,Huatabampo,3,1,7010000,Granada,18.0,0.0,0.0,0.0,,,0.0
2024,149,33,Huatabampo,3,1,7150000,Higo,10.0,0.0,0.0,0.0,,,0.0
2024,149,33,Huatabampo,3,1,7390000,Limón,65.0,30.0,0.0,450.0,15.0,8500.0,3825000.0
2024,149,33,Huatabampo,3,1,7560000,Mango,74.0,0.0,0.0,0.0,,,0.0
2024,149,33,Huatabampo,3,1,7850000,Naranja,32.5,12.5,0.0,250.0,20.0,7600.0,1900000.0
2024,149,3,Alamos,2,2,5080000,Ajonjolí,850.0,0.0,850.0,0.0,,,0.0
2024,149,3,Alamos,2,2,6840000,Frijol,160.0,0.0,160.0,0.0,,,0.0
2024,149,3,Alamos,2,2,7490000,Maíz grano,850.0,0.0,850.0,0.0,,,0.0
2024,149,3,Alamos,2,2,8790000,Sorgo forrajero en verde,3250.0,0.0,3250.0,0.0,,,0.0
2024,149,3,Alamos,3,1,7400000,Limón real,99.0,0.0,0.0,0.0,,,0.0
2024,149,3,Alamos,3,1,7850000,Naranja,61.0,31.0,0.0,500.03,16.13,6500.0,3250195.0
2024,193,55,San Luis Río Colorado,1,1,5010000,Acelga,1.0,1.0,0.0,10.0,10.0,6000.0,60000.0
2024,193,55,San Luis Río Colorado,1,1,5070000,Ajo,4.0,4.0,0.0,36.0,9.0,30500.0,1098000.0
2024,193,55,San Luis Río Colorado,1,1,5370000,Apio,2.0,2.0,0.0,118.0,59.0,7500.0,885000.0
2024,193,55,San Luis Río Colorado,1,1,5370000,Apio,8.0,8.0,0.0,484.0,60.5,8250.0,3993000.0
2024,193,55,San Luis Río Colorado,1,1,5490000,Avena forrajera en verde,456.0,456.0,0.0,10848.24,23.79,890.0,9654933.6
2024,193,55,San Luis Río Colorado,1,1,5640000,Betabel,4.0,4.0,0.0,64.0,16.0,6400.0,409600.0
2024,193,55,San Luis Río Colorado,1,1,5640000,Betabel,17.0,17.0,0.0,279.99,16.47,6952.68,1946680.87
2024,193,55,San Luis Río Colorado,1,1,5670000,Brócoli,82.0,82.0,0.0,1763.0,21.5,11349.39,20008974.57
2024,193,55,San Luis Río Colorado,1,1,5670000,Brócoli,1040.0,1040.0,0.0,23920.0,23.0,13153.85,314640092.0
2024,193,55,San Luis Río Colorado,1,1,5940000,Cebolla,121.0,121.0,0.0,5250.19,43.39,5840.0,30661109.6
2024,193,55,San Luis Río Colorado,1,1,5940000,Cebolla,70.0,70.0,0.0,1250.2,17.86,14200.0,17752840.0
2024,193,55,San Luis Río Colorado,1,1,5940000,Cebolla,880.0,880.0,0.0,16896.0,19.2,15300.0,258508800.0
2024,193,55,San Luis Río Colorado,1,1,6190000,Cilantro,50.0,50.0,0.0,1020.0,20.4,9254.31,9439396.2
2024,193,55,San Luis Río Colorado,1,1,6190000,Cilantro,275.0,275.0,0.0,5912.5,21.5,9985.44,59038914.0
2024,193,55,San Luis Río Colorado,1,1,6310000,Col (repollo),45.0,45.0,0.0,1809.9,40.22,3780.88,6843014.71
2024,193,55,San Luis Río Colorado,1,1,6310000,Col (repollo),195.0,195.0,0.0,8000.85,41.03,4382.75,35065725.34
2024,193,55,San Luis Río Colorado,1,1,6330000,Coliflor,60.0,60.0,0.0,1950.0,32.5,4770.77,9303001.5
2024,193,55,San Luis Río Colorado,1,1,6620000,Eneldo,6.0,6.0,0.0,48.0,8.0,7500.0,360000.0
2024,193,55,San Luis Río Colorado,1,1,6670000,Espinaca,1.0,1.0,0.0,11.0,11.0,9800.0,107800.0
2024,193,55,San Luis Río Colorado,1,1,6670000,Espinaca,4.0,4.0,0.0,49.2,12.3,10700.0,526440.0
2024,193,55,San Luis Río Colorado,1,1,7330000,Lechuga,310.0,310.0,0.0,7440.0,24.0,7400.0,55056000.0
2024,193,55,San Luis Río Colorado,1,1,7330000,Lechuga,720.0,720.0,0.0,19101.6,26.53,7850.0,149947560.0
2024,193,55,San Luis Río Colorado,1,1,8240000,Perejil,5.0,5.0,0.0,90.0,18.0,7411.11,666999.9
2024,193,55,San Luis Río Colorado,1,1,8240000,Perejil,28.0,28.0,0.0,560.0,20.0,8000.0,4480000.0
2024,193,55,San Luis Río Colorado,1,1,8440000,Poro (leek),33.0,33.0,0.0,675.84,20.48,13530.0,9144115.2
2024,193,55,San Luis Río Colorado,1,1,8490000,Rábano,25.0,25.0,0.0,600.0,24.0,5800.0,3480000.0
2024,193,55,San Luis Río Colorado,1,1,9050000,Trigo grano,2702.0,2702.0,0.0,22885.94,8.47,5100.0,116718294.0
2024,193,55,San Luis Río Colorado,1,1,9050000,Trigo grano,4457.0,4457.0,0.0,27365.98,6.14,7555.28,206757641.4
2024,193,55,San Luis Río Colorado,1,1,9270000,Zanahoria,20.3,20.3,0.0,579.97,28.57,7850.0,4552764.5
2024,193,55,San Luis Río Colorado,1,1,15050000,Pastos y praderas,6.0,6.0,0.0,150.0,25.0,910.0,136500.0
2024,193,55,San Luis Río Colorado,2,1,5190000,Algodón hueso,2280.0,2280.0,0.0,10647.6,4.67,15115.06,160939112.9
2024,193,55,San Luis Río Colorado,2,1,5670000,Brócoli,31.0,31.0,0.0,580.01,18.71,10200.0,5916102.0
2024,193,55,San Luis Río Colorado,2,1,5740000,Calabacita,7.0,7.0,0.0,179.97,25.71,7891.96,1420316.0
2024,193,55,San Luis Río Colorado,2,1,5940000,Cebolla,925.0,925.0,0.0,16455.75,17.79,15170.23,249637512.3
2024,193,55,San Luis Río Colorado,2,1,6120000,Chile verde,3.0,3.0,0.0,95.01,31.67,8900.0,845589.0
