Anio,Idddr,Idmunicipio,Nommunicipio,Idciclo,Idmodalidad,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
2016,139,48,Puerto Peñasco,3,1,Espárrago,268.0,268.0,0.0,2379.5,8.88,35687.85,84919233.26
2016,139,70,General Plutarco Elías Calles,1,1,Trigo grano,1201.0,1201.0,0.0,7206.0,6.0,3788.94,27303101.64
2016,139,70,General Plutarco Elías Calles,2,1,Algodón hueso,275.48,275.48,0.0,1129.47,4.1,8213.79,9277229.39
2016,139,70,General Plutarco Elías Calles,3,1,Alfalfa achicalada,1565.0,1565.0,0.0,18861.0,12.05,2315.98,43681698.78
2016,139,70,General Plutarco Elías Calles,3,1,Espárrago,515.0,515.0,0.0,4570.0,8.87,35686.02,163085111.24
2016,139,17,Caborca,1,1,Avena forrajera en verde,20.0,20.0,0.0,500.0,25.0,887.44,443720.0
2016,139,17,Caborca,1,1,Cártamo,269.0,269.0,0.0,672.5,2.5,6350.0,4270375.0
2016,139,17,Caborca,1,1,Melón,90.0,90.0,0.0,3150.0,35.0,8500.0,26775000.0
2016,139,17,Caborca,1,1,Papa,50.0,50.0,0.0,1750.0,35.0,5500.0,9625000.0
2016,139,17,Caborca,1,1,Sorgo forrajero en verde,153.6,153.6,0.0,3840.0,25.0,960.0,3686400.0
2016,139,17,Caborca,1,1,Trigo grano,1544.0,1544.0,0.0,9727.0,6.3,3812.99,37088953.73
2016,139,17,Caborca,1,1,Pastos y praderas,41.0,41.0,0.0,943.0,23.0,909.08,857262.44
2016,139,17,Caborca,2,1,Melón,251.5,251.5,0.0,8802.5,35.0,5320.38,46832644.95
2016,139,17,Caborca,2,1,Papa,2789.0,2789.0,0.0,97615.0,35.0,5740.77,560385263.6
2016,139,17,Caborca,2,1,Pepino,22.0,22.0,0.0,2959.06,134.5,6800.0,20121608.0
2016,139,17,Caborca,2,1,Sandía,20.0,20.0,0.0,500.0,25.0,3845.0,1922500.0
2016,139,17,Caborca,2,1,Sorgo forrajero en verde,153.6,153.6,0.0,3379.2,22.0,954.35,3224939.52
2016,139,17,Caborca,2,1,Pastos y praderas,2.0,2.0,0.0,40.0,20.0,860.0,34400.0
2016,139,17,Caborca,3,1,Aceituna,1578.0,1578.0,0.0,12624.0,8.0,12053.99,152169569.8
2016,139,17,Caborca,3,1,Alfalfa achicalada,1035.0,1035.0,0.0,14100.0,13.62,2217.41,31265481.0
2016,139,17,Caborca,3,1,Dátil,7.0,7.0,0.0,70.0,10.0,30185.71,2112999.7
2016,139,17,Caborca,3,1,Durazno,50.0,50.0,0.0,616.5,12.33,6882.22,4242888.63
2016,139,17,Caborca,3,1,Espárrago,7635.0,7635.0,0.0,75919.63,9.94,37689.76,2861392300.91
2016,139,17,Caborca,3,1,Higo,13.0,13.0,0.0,74.75,5.75,4250.0,317687.5
2016,139,17,Caborca,3,1,Naranja,70.0,70.0,0.0,630.0,9.0,1621.43,1021500.9
2016,139,17,Caborca,3,1,Nuez,382.0,382.0,0.0,649.4,1.7,58118.88,37742400.67
2016,139,17,Caborca,3,1,Uva,7825.0,7825.0,0.0,81221.0,10.38,15455.4,1255302969.0
2016,139,17,Caborca,3,1,Pastos y praderas,310.0,310.0,0.0,6420.0,20.71,425.0,2728499.4
2016,139,47,Pitiquito,1,1,Avena forrajera en verde,10.0,10.0,0.0,220.0,22.0,895.15,196933.0
2016,139,47,Pitiquito,1,1,Cártamo,135.0,135.0,0.0,337.5,2.5,6300.0,2126250.0
2016,139,47,Pitiquito,1,1,Cebada forrajera en verde,7.0,7.0,0.0,154.0,22.0,522.3,80434.2
2016,139,47,Pitiquito,1,1,Trigo grano,300.0,300.0,0.0,1800.0,6.0,3775.0,6795000.0
2016,139,47,Pitiquito,1,1,Pastos y praderas,10.0,10.0,0.0,193.0,19.3,904.3,174529.9
2016,139,47,Pitiquito,2,1,Papa,305.0,305.0,0.0,12200.0,40.0,5647.54,68899988.0
2016,139,47,Pitiquito,2,1,Pepino,17.6,17.6,0.0,1983.05,112.67,6800.0,13484740.0
2016,139,47,Pitiquito,2,1,Sandía,24.0,24.0,0.0,624.0,26.0,3800.0,2371200.0
2016,139,47,Pitiquito,3,1,Aceituna,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,139,47,Pitiquito,3,1,Alfalfa achicalada,290.0,290.0,0.0,3820.0,13.17,2258.09,8625903.8
2016,139,47,Pitiquito,3,1,Espárrago,488.0,488.0,0.0,4704.26,9.64,37645.84,177095802.0
2016,139,47,Pitiquito,3,1,Uva,33.0,33.0,0.0,510.0,15.45,15555.89,7933503.9
2016,139,47,Pitiquito,3,1,Pastos y praderas,100.0,100.0,0.0,2200.0,22.0,425.94,937068.0
2016,139,4,Altar,1,1,Avena forrajera en verde,33.0,33.0,0.0,676.5,20.5,896.21,606286.07
2016,139,4,Altar,1,1,Cártamo,442.0,442.0,0.0,1016.6,2.3,6300.0,6404580.0
2016,139,4,Altar,1,1,Cebada forrajera en verde,41.0,41.0,0.0,738.0,18.0,506.48,373782.24
2016,139,4,Altar,1,1,Melón,20.0,20.0,0.0,820.0,41.0,6500.0,5330000.0
2016,139,4,Altar,1,1,Pepino,18.0,18.0,0.0,2027.89,112.66,8500.0,17237065.0
2016,139,4,Altar,1,1,Trigo grano,621.0,621.0,0.0,3726.0,6.0,3750.0,13972500.0
2016,139,4,Altar,1,1,Pastos y praderas,30.0,30.0,0.0,540.0,18.0,913.33,493198.2
