Anio,Idddr,Idmunicipio,Nommunicipio,Idciclo,Idmodalidad,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
2007,144,56,San Miguel de Horcasitas,3,1,Nopalitos,10.0,10.0,0.0,60.0,6.0,2400.0,144000.0
2007,144,56,San Miguel de Horcasitas,3,1,Uva,1890.0,1890.0,0.0,30240.0,16.0,18330.0,554299200.0
2007,144,56,San Miguel de Horcasitas,3,1,Pastos y praderas,300.0,300.0,0.0,3100.0,10.33,829.03,2570000.0
2007,145,37,Mazatán,1,1,Avena forrajera en verde,45.0,45.0,0.0,832.5,18.5,350.0,291375.0
2007,145,37,Mazatán,1,1,Cebada forrajera en verde,38.0,38.0,0.0,703.0,18.5,350.0,246050.0
2007,145,37,Mazatán,1,1,Pastos y praderas,15.0,15.0,0.0,660.0,44.0,400.0,264000.0
2007,145,37,Mazatán,2,1,Sorgo forrajero en verde,55.0,55.0,0.0,1804.0,32.8,410.0,739640.0
2007,145,37,Mazatán,2,2,Maíz forrajero en verde,10.0,10.0,0.0,66.0,6.6,350.0,23100.0
2007,145,37,Mazatán,2,2,Sorgo forrajero en verde,850.0,784.0,66.0,7212.8,9.2,400.0,2885120.0
2007,145,37,Mazatán,3,1,Alfalfa achicalada,60.0,60.0,0.0,600.0,10.0,1900.0,1140000.0
2007,145,57,San Pedro de La Cueva,1,1,Avena forrajera en verde,37.0,37.0,0.0,647.5,17.5,350.0,226625.0
2007,145,57,San Pedro de La Cueva,1,1,Cebada forrajera en verde,20.0,20.0,0.0,370.0,18.5,350.0,129500.0
2007,145,57,San Pedro de La Cueva,1,1,Pastos y praderas,14.0,14.0,0.0,616.0,44.0,400.0,246400.0
2007,145,57,San Pedro de La Cueva,2,1,Maíz forrajero en verde,55.0,55.0,0.0,1045.0,19.0,367.0,383515.0
2007,145,57,San Pedro de La Cueva,2,1,Sorgo forrajero en verde,110.0,103.5,6.5,3394.8,32.8,410.0,1391868.0
2007,145,57,San Pedro de La Cueva,2,2,Maíz forrajero en verde,15.0,15.0,0.0,99.0,6.6,350.0,34650.0
2007,145,57,San Pedro de La Cueva,2,2,Sorgo forrajero en verde,255.0,249.0,6.0,2290.8,9.2,400.0,916320.0
2007,145,57,San Pedro de La Cueva,3,1,Alfalfa achicalada,40.0,40.0,0.0,400.0,10.0,1900.0,760000.0
2007,145,57,San Pedro de La Cueva,3,1,Nuez,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,145,68,Villa Pesqueira,2,1,Sorgo forrajero en verde,30.0,30.0,0.0,984.0,32.8,410.0,403440.0
2007,145,68,Villa Pesqueira,2,2,Maíz forrajero en verde,25.0,25.0,0.0,165.0,6.6,350.0,57750.0
2007,145,68,Villa Pesqueira,2,2,Sorgo forrajero en verde,950.0,950.0,0.0,8740.0,9.2,400.0,3496000.0
2007,145,68,Villa Pesqueira,3,1,Alfalfa achicalada,5.0,5.0,0.0,50.0,10.0,1900.0,95000.0
2007,145,21,La Colorada,1,1,Avena forrajera en verde,69.0,69.0,0.0,1276.5,18.5,350.0,446775.0
2007,145,21,La Colorada,1,1,Cebada forrajera en verde,87.0,87.0,0.0,1609.5,18.5,350.0,563325.0
2007,145,21,La Colorada,1,1,Pastos y praderas,114.0,114.0,0.0,5016.0,44.0,400.0,2006400.0
2007,145,21,La Colorada,2,1,Maíz forrajero en verde,10.0,10.0,0.0,190.0,19.0,367.0,69730.0
2007,145,21,La Colorada,2,1,Sorgo forrajero en verde,475.0,465.0,10.0,15252.0,32.8,410.0,6253320.0
2007,145,21,La Colorada,2,2,Maíz forrajero en verde,45.0,45.0,0.0,297.0,6.6,350.0,103950.0
2007,145,21,La Colorada,2,2,Sorgo forrajero en verde,795.0,773.0,22.0,7111.6,9.2,400.0,2844640.0
2007,145,21,La Colorada,3,1,Alfalfa achicalada,703.0,703.0,0.0,7030.0,10.0,1900.0,13357000.0
2007,145,21,La Colorada,3,1,Durazno,10.0,10.0,0.0,10.0,1.0,2000.0,20000.0
2007,145,54,San Javier,3,2,Nopal forrajero,10.0,10.0,0.0,30.0,3.0,400.0,12000.0
2007,145,62,Suaqui Grande,1,1,Avena forrajera en verde,15.0,15.0,0.0,277.5,18.5,350.0,97125.0
