Anio,Idddr,Idmunicipio,Nommunicipio,Idciclo,Nommodalidad,Nomunidad,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
2019,139,48,Puerto Peñasco,3,Riego,Tonelada,Espárrago,420.0,420.0,0.0,3634.4,8.65,33362.72,121253457.08
2019,139,70,General Plutarco Elías Calles,1,Riego,Tonelada,Avena forrajera en verde,23.0,23.0,0.0,375.0,16.3,465.08,174405.0
2019,139,70,General Plutarco Elías Calles,1,Riego,Tonelada,Trigo grano,585.0,455.0,130.0,2457.0,5.4,3895.0,9570015.0
2019,139,70,General Plutarco Elías Calles,1,Riego,Tonelada,Pastos y praderas,40.0,40.0,0.0,652.0,16.3,646.0,421192.0
2019,139,70,General Plutarco Elías Calles,2,Riego,Tonelada,Algodón hueso,421.0,421.0,0.0,1684.0,4.0,10752.15,18106620.6
2019,139,70,General Plutarco Elías Calles,2,Riego,Tonelada,Sorgo forrajero en verde,16.0,16.0,0.0,264.0,16.5,665.0,175560.0
2019,139,70,General Plutarco Elías Calles,3,Riego,Tonelada,Alfalfa achicalada,750.0,750.0,0.0,14158.0,18.88,2242.31,31746624.98
2019,139,70,General Plutarco Elías Calles,3,Riego,Tonelada,Espárrago,965.0,965.0,0.0,8020.5,8.31,33435.37,268168396.26
2019,139,17,Caborca,1,Riego,Tonelada,Avena forrajera en verde,12.0,12.0,0.0,201.6,16.8,479.17,96600.67
2019,139,17,Caborca,1,Riego,Tonelada,Chícharo,21.0,21.0,0.0,104.9,5.0,7247.47,760259.6
2019,139,17,Caborca,1,Riego,Tonelada,Col de bruselas,44.5,44.5,0.0,1125.85,25.3,25405.35,28602613.3
2019,139,17,Caborca,1,Riego,Tonelada,Semilla de flores,25.0,25.0,0.0,25.0,1.0,6800.0,170000.0
2019,139,17,Caborca,1,Riego,Tonelada,Trigo grano,638.0,638.0,0.0,3381.6,5.3,3911.93,13228582.49
2019,139,17,Caborca,1,Riego,Tonelada,Pastos y praderas,30.0,30.0,0.0,516.0,17.2,641.24,330879.84
2019,139,17,Caborca,2,Riego,Tonelada,Calabaza,9.0,9.0,0.0,306.0,34.0,9591.37,2934959.22
2019,139,17,Caborca,2,Riego,Tonelada,Chile verde,30.0,30.0,0.0,615.0,20.5,7476.83,4598250.45
2019,139,17,Caborca,2,Riego,Tonelada,Melón,92.0,92.0,0.0,3063.3,33.3,6846.16,20971841.93
2019,139,17,Caborca,2,Riego,Tonelada,Papa,3051.0,3051.0,0.0,129667.5,42.5,6860.32,889560543.6
2019,139,17,Caborca,2,Riego,Tonelada,Sandía,45.0,45.0,0.0,1440.0,32.0,6350.0,9144000.0
2019,139,17,Caborca,2,Riego,Tonelada,Sorgo forrajero en verde,46.0,46.0,0.0,782.0,17.0,665.5,520421.0
2019,139,17,Caborca,3,Riego,Tonelada,Aceituna,1211.0,1211.0,0.0,11505.0,9.5,11600.0,133458000.0
2019,139,17,Caborca,3,Riego,Tonelada,Alfalfa achicalada,790.0,790.0,0.0,14870.0,18.82,2293.67,34106872.9
2019,139,17,Caborca,3,Riego,Tonelada,Chabacano,10.0,10.0,0.0,45.0,4.5,4780.0,215100.0
2019,139,17,Caborca,3,Riego,Tonelada,Dátil,12.0,12.0,0.0,120.0,10.0,53325.0,6399000.0
2019,139,17,Caborca,3,Riego,Tonelada,Durazno,122.0,122.0,0.0,1318.0,10.8,7730.45,10188733.1
2019,139,17,Caborca,3,Riego,Tonelada,Espárrago,8116.0,8116.0,0.0,79000.0,9.73,36822.82,2909002480.0
2019,139,17,Caborca,3,Riego,Tonelada,Naranja,45.0,45.0,0.0,450.0,10.0,3967.74,1785483.0
2019,139,17,Caborca,3,Riego,Tonelada,Nuez,563.0,563.0,0.0,1013.4,1.8,57354.71,58123263.11
2019,139,17,Caborca,3,Riego,Tonelada,Uva,7670.5,7670.5,0.0,91527.0,11.93,22567.67,2065551492.0
2019,139,17,Caborca,3,Riego,Tonelada,Pastos y praderas,145.0,145.0,0.0,2508.5,17.3,947.0,2375549.5
2019,139,47,Pitiquito,1,Riego,Tonelada,Avena forrajera en verde,10.0,10.0,0.0,160.0,16.0,483.0,77280.0
2019,139,47,Pitiquito,1,Riego,Tonelada,Trigo grano,180.0,100.0,80.0,560.0,5.6,3886.9,2176664.0
2019,139,47,Pitiquito,1,Riego,Tonelada,Pastos y praderas,10.6,10.6,0.0,178.08,16.8,645.0,114861.6
2019,139,47,Pitiquito,2,Riego,Tonelada,Papa,134.0,134.0,0.0,5649.44,42.16,6860.0,38755158.4
2019,139,47,Pitiquito,2,Riego,Tonelada,Pepino,17.4,17.4,0.0,2483.32,142.72,7609.54,18896922.87
2019,139,47,Pitiquito,2,Riego,Tonelada,Sandía,30.0,30.0,0.0,1038.0,34.6,6500.0,6747000.0
2019,139,47,Pitiquito,2,Riego,Tonelada,Sorgo forrajero en verde,3.0,3.0,0.0,51.6,17.2,665.5,34339.8
2019,139,47,Pitiquito,2,Riego,Tonelada,Tomate rojo (jitomate),21.0,21.0,0.0,2005.5,95.5,7405.24,14851200.0
2019,139,47,Pitiquito,3,Riego,Tonelada,Aceituna,12.0,12.0,0.0,102.0,8.5,11600.0,1183200.0
2019,139,47,Pitiquito,3,Riego,Tonelada,Alfalfa achicalada,325.0,325.0,0.0,6175.0,19.0,2289.97,14140564.75
2019,139,47,Pitiquito,3,Riego,Tonelada,Chabacano,8.0,8.0,0.0,32.0,4.0,4760.0,152320.0
2019,139,47,Pitiquito,3,Riego,Tonelada,Espárrago,850.0,700.0,0.0,6780.3,9.69,33240.61,225381297.4
2019,139,47,Pitiquito,3,Riego,Tonelada,Nuez,100.0,100.0,0.0,156.0,1.56,56606.28,8830579.6
2019,139,47,Pitiquito,3,Riego,Tonelada,Uva,60.0,60.0,0.0,1080.0,18.0,23761.25,25662150.0
2019,139,47,Pitiquito,3,Riego,Tonelada,Pastos y praderas,64.0,64.0,0.0,1081.6,16.9,938.99,1015611.58
2019,139,4,Altar,1,Riego,Tonelada,Avena forrajera en verde,49.6,49.6,0.0,843.2,17.0,485.12,409053.18
2019,139,4,Altar,1,Riego,Tonelada,Cebada forrajera en verde,13.0,13.0,0.0,208.0,16.0,484.0,100672.0
2019,139,4,Altar,1,Riego,Tonelada,Trigo grano,752.7,752.7,0.0,3838.77,5.1,3914.66,15027479.37
2019,139,4,Altar,1,Riego,Tonelada,Pastos y praderas,83.0,83.0,0.0,1427.5,17.2,636.5,908603.75
2019,139,4,Altar,2,Riego,Tonelada,Calabaza,95.0,95.0,0.0,1940.0,20.42,7386.3,14329425.0
2019,139,4,Altar,2,Riego,Tonelada,Papa,1524.8,1524.8,0.0,67700.0,44.4,6885.33,466136841.0
2019,139,4,Altar,2,Riego,Tonelada,Pepino,122.0,122.0,0.0,5760.2,47.21,6526.29,37592746.43
2019,139,4,Altar,2,Riego,Tonelada,Sorgo forrajero en verde,32.0,32.0,0.0,534.4,16.7,665.0,355376.0
2019,139,4,Altar,2,Riego,Tonelada,Tomate verde,47.5,47.5,0.0,893.0,18.8,4842.26,4324138.18
2019,139,4,Altar,3,Riego,Tonelada,Alfalfa achicalada,515.1,515.1,0.0,9750.0,18.93,2231.72,21759270.0
2019,139,4,Altar,3,Riego,Tonelada,Espárrago,1785.0,1785.0,0.0,16400.0,9.19,34227.49,561330758.0
2019,139,4,Altar,3,Riego,Tonelada,Nuez,1138.0,1138.0,0.0,2048.4,1.8,57411.11,117600917.72
2019,139,4,Altar,3,Riego,Tonelada,Uva,72.0,72.0,0.0,1260.0,17.5,23711.09,29875973.4
2019,139,4,Altar,3,Riego,Tonelada,Pastos y praderas,25.0,25.0,0.0,425.0,17.0,943.0,400775.0
2019,139,7,Atil,1,Riego,Tonelada,Avena forrajera en verde,3.0,3.0,0.0,48.0,16.0,468.0,22464.0
2019,139,7,Atil,1,Riego,Tonelada,Trigo grano,135.0,135.0,0.0,783.0,5.8,3925.0,3073275.0
2019,139,7,Atil,1,Riego,Tonelada,Pastos y praderas,10.0,10.0,0.0,169.0,16.9,633.0,106977.0
2019,139,7,Atil,2,Riego,Tonelada,Sorgo forrajero en verde,40.0,40.0,0.0,672.0,16.8,663.0,445536.0
2019,139,46,Oquitoa,1,Riego,Tonelada,Avena forrajera en verde,3.0,3.0,0.0,48.0,16.0,469.8,22550.4
2019,139,46,Oquitoa,1,Riego,Tonelada,Cebada forrajera en verde,10.0,10.0,0.0,166.0,16.6,465.0,77190.0
2019,139,46,Oquitoa,1,Riego,Tonelada,Pastos y praderas,9.6,9.6,0.0,158.4,16.5,632.5,100188.0
