Cultivo,Ton_per_m3,MXN_per_m3,HHtotal_m3_ton,Rend_t_ha,PMR
Col (repollo),0.037481689896606024,106.14998109803659,27.05530950854068,32.2,2820.0
Coliflor,0.021282075333259952,186.6352878425565,46.9878987054042,22.0,8769.6
Hortalizas,0.016651115638096403,48.32392227504801,73.09835139897709,13.751666666666667,2996.7175
Caña de azúcar piloncillo,0.014785664121676796,14.046380915592955,67.63307970278667,60.0,950.0
Zanahoria,0.01266891826218133,44.341213917634654,78.93333742511813,28.0,3500.0
Tomate rojo (jitomate),0.01131158923851052,74.27774118966988,168.5778692884753,83.1478291883555,6038.3381709080395
Pepino,0.01058844522784805,64.22108064336297,193.49362470059103,73.52658798886299,5456.004126198802
Rábano,0.008664018533379392,47.094282326806855,132.2998083242663,15.364190476190476,5376.0314285714285
Apio,0.00797049088224925,38.58019559821504,188.0528857016368,30.525,4350.0
Trigo forrajero verde,0.0076551125667628,3.50054647423732,134.42634910605517,21.65125,444.36375
Cebada forrajera en verde,0.006555025390897694,3.5314625131883948,168.40626294958747,23.166818181818183,549.6670454545455
Avena forrajera en verde,0.0064352496337231726,3.534178283882682,182.08846690101964,23.259215686274512,562.6772549019609
Alfalfa achicalada,0.005685627607290392,15.955873047315784,192.9461586790311,15.029174526651799,2553.074112149635
Cebolla,0.005302151780490703,24.18161553845672,209.4979601190457,29.62357142857143,4797.142142857143
Papa,0.005030400537437762,37.900036993373135,245.963849063482,32.58418608551942,7570.668974965363
Semilla de papa,0.004485877936448051,36.43172077602263,225.99655081600113,31.616666666666664,8184.731666666667
Berenjena,0.004464899306274736,35.23126858021401,313.8913976059603,30.59229487179487,8402.98073076923
Perejil,0.004176457151747906,21.555136132573608,272.4811144759427,19.672083333333333,5433.17
Sorgo forrajero achicalado,0.004140326574350116,3.9044521694093897,241.5268414320589,38.29,943.03
Sandía,0.0040605989369401595,12.196432602389425,386.42206413541976,31.37348413683091,2836.8858681909487
Melón,0.004025580891918602,20.900326526011515,275.7582993254211,30.97514136904762,5082.199360119048
Nopalitos,0.003506646247925694,16.61247322842301,408.84629919524184,22.30926700680272,4270.177020408163
Betabel,0.003167161153649643,21.80284410585691,331.67180504213025,13.799375000000001,6632.150595238096
Calabacita,0.0030935206493988604,17.63737220721977,404.0885770817523,20.4153490129662,5631.892971338557
Espinaca,0.0030880541485326417,15.504167392747807,342.5718964533607,13.516458333333333,5168.608333333334
Cilantro,0.00272189572572097,18.418864163030168,394.5836153739547,11.884369047619048,6359.570607142858
Calabaza,0.0027123215714661467,13.427921794851125,410.68556123475025,17.44316333845366,4765.0009050179215
Eneldo,0.002588785640994276,22.46682535367034,445.2225350147946,12.056666666666667,8268.856666666667
Tomate verde,0.0024486667697315298,12.593795098502815,510.74218231749944,17.430171279337944,5009.633782322616
Quelite,0.0024454641433534095,7.585134547563183,434.4435607171322,10.488971428571428,2953.872361904762
Sorgo forrajero en verde,0.002240030743493441,1.4859430579085091,549.5008321857188,27.270732769962276,684.409683753405
Agave,0.002064646221856048,3.096969332784073,484.7756033356899,24.0,1500.0
Pastos y praderas,0.0019650895111074152,1.348791865060432,702.7630325634894,27.734246564795072,707.1706957420689
Ejote,0.0016601993452427068,14.623124905595505,656.874142727012,8.033496162927982,8720.95647973239
Limón real,0.0016428488368974824,12.423832769131142,610.869521148702,25.380000000000003,7566.325
Toronja (pomelo),0.0015909420609341834,6.681903789419351,670.5970459041203,23.59226617826618,4311.49471062271
Flores,0.001476538317218267,9.415423902064793,1231.5121601201379,11.43861111111111,6493.296666666666
Maíz forrajero en verde,0.0014069444720270783,0.9065785469082432,892.7414302883737,17.92625875975876,613.94680554425
Elote,0.0013995720235861573,5.4831040538936815,759.0966978033742,11.419728613053612,3969.0171998446
Chile verde,0.0013925546739057988,11.03281451410694,1500.3352157385018,18.741901635864135,8009.081198586136
Remolacha azucarera,0.0013875927141031583,3.101309024782736,759.1773226371605,19.0,2400.0
Naranja,0.001314412633934259,3.497854046132936,996.3597636453682,19.31438095238095,2591.023134920635
Uva,0.001310057658193113,29.12072383348175,982.5366164536719,14.467724489795918,21200.039290816327
Cártamo,0.0013020187733392972,6.867554981858807,797.3862659681845,2.5116666666666667,5242.633333333333
Zempoalxochitl,0.0012848570221400042,7.068414516440809,784.1014981833719,9.9125,5485.0
Ajo,0.0012217521848798692,15.306343866828271,864.9691538767449,6.224117647058824,12573.406470588236
Haba grano,0.001194937982879546,4.924399114421519,839.8991014689699,2.345,4116.0
Trigo grano,0.0011904667710907159,3.3377291257304558,874.8440116712891,5.5344,2797.046
Mandarina,0.0011813649987487246,4.671743660304072,994.1615755738179,17.22064468864469,4333.823380952381
Nopal forrajero,0.0010574495700851159,0.5181502893417068,945.6715745976504,2.01,490.0
Manzana,0.0009531871304979795,7.184099427925015,1226.1110903684546,11.431920634920635,7942.928650793651
Limón,0.0009387634038304574,5.023250790748568,1212.3174724712894,14.606224053724054,5338.308559371184
Pera,0.0009321279185232475,6.973446081877754,1247.074408623666,10.47888888888889,6970.102222222222
Persimonio,0.0008865270955574683,11.748708848368576,1216.8181412343606,11.944666666666667,12845.258238095237
Membrillo,0.000855313791826042,9.450157747583285,1883.3823311707954,10.112472222222221,10430.435972222222
Granada,0.0008246178650948059,10.979840374926363,3476.2877918475874,12.515257142857141,12587.900285714286
Aguacate,0.0008054051826202452,13.211979341889068,1246.2402123879795,13.457142857142857,16267.69880952381
Mango,0.0007245156231131235,2.8626981242286167,1625.904571021121,14.066011904761906,3915.8037896825394
Espárrago,0.0007178424743557093,26.402301494789615,1454.7678288139302,8.609890349729636,36684.79648890197
Garbanzo grano,0.0006497986714297356,5.84818804286762,1589.285125396539,1.8,9000.0
Cítricos,0.000643545537530132,2.001358667141598,1556.7938719663334,9.6,3106.6675
Ciruela,0.0006307175744756565,6.987020724648722,2844.442753815665,7.554642857142857,12456.964285714286
Stevia,0.0005167620334650954,26.898641340061488,1944.0355053698534,5.403333333333333,51500.0
Chabacano,0.0004803135643269023,4.820820125670791,2147.361314096455,6.206634199134199,9691.323344155844
Aceituna,0.0004726098430958228,5.3561027809286355,2574.737680152459,6.605104166666667,10981.940104166668
Higo,0.0004300509477476867,10.893427441690715,2883.757492163136,5.843181818181819,25153.375
Maíz grano,0.0003950779277517641,1.6797094451532546,3411.2249082662265,4.710446352498076,4026.923405588664
Sorgo grano,0.0003526253740228387,1.247496707895993,3853.0510166509425,3.494494091766819,3442.250960285506
Dátil,0.0003501558049889904,15.507448251115802,3021.547622503007,7.512222222222223,43772.23111111111
