								
Aconchi							
Ajo							
Riego							
Otoño-Invierno           							
2009	80.00	45.00	35.00	81.00	1.80	10,000.00	810.00
2010	55.00	55.00	0.00	144.10	2.62	12,000.00	1,729.20
2011	89.00	89.00	0.00	222.50	2.50	14,000.00	3,115.00
2012	195.00	195.00	0.00	518.70	2.66	14,500.00	7,521.15
2013	124.00	124.00	0.00	314.96	2.54	14,000.00	4,409.44
2014	75.00	28.00	47.00	39.20	1.40	14,200.00	556.64
2015	85.00	85.00	0.00	161.50	1.90	14,600.00	2,357.90
2016	180.00	180.00	0.00	423.00	2.35	14,700.00	6,218.10
2017	175.00	175.00	0.00	388.50	2.22	16,400.00	6,371.40
2018	172.00	172.00	0.00	364.64	2.12	19,100.00	6,964.62
2019	165.00	150.00	15.00	322.50	2.15	25,654.42	8,273.55
2022	110.00	88.50	21.50	124.79	1.41	30,000.00	3,743.70
2023	65.00	65.00	0.00	141.70	2.18	31,500.00	4,463.55
2024	32.00	32.00	0.00	52.16	1.63	29,701.92	1,549.25
TOTAL	1,839.00	1,705.50	133.50	3,854.25	0.00	0.00	62,968.51
							
Aconchi							
Calabacita							
Riego							
Primavera-Verano         							
2006	2.00	2.00	0.00	18.00	9.00	3,000.00	54.00
2007	2.00	2.00	0.00	40.00	20.00	3,000.00	120.00
TOTAL	4.00	4.00	0.00	58.00	0.00	0.00	174.00
							
Aconchi							
Calabaza							
Riego							
Primavera-Verano         							
2005	5.00	5.00	0.00	85.00	17.00	3,000.00	255.00
Temporal							
Primavera-Verano         							
2005	5.00	5.00	0.00	100.00	20.00	3,000.00	300.00
2007	28.00	28.00	0.00	420.00	15.00	3,000.00	1,260.00
2008	31.00	31.00	0.00	558.00	18.00	3,000.00	1,674.00
2009	21.00	16.00	5.00	256.00	16.00	3,000.00	768.00
2010	13.00	13.00	0.00	223.60	17.20	3,200.00	715.52
2011	16.00	16.00	0.00	240.00	15.00	3,000.00	720.00
2012	14.00	14.00	0.00	113.40	8.10	4,100.00	464.94
2013	13.00	13.00	0.00	210.60	16.20	1,800.00	379.08
2014	8.00	8.00	0.00	137.60	17.20	2,320.00	319.23
2015	14.00	14.00	0.00	250.60	17.90	2,370.00	593.92
2016	7.00	7.00	0.00	122.50	17.50	2,400.00	294.00
2017	2.00	2.00	0.00	24.00	12.00	2,610.00	62.64
2018	2.50	2.50	0.00	32.00	12.80	3,100.00	99.20
2019	2.50	2.50	0.00	38.25	15.30	3,150.00	120.49
TOTAL	182.00	177.00	5.00	2,811.55	0.00	0.00	8,026.02
							
Aconchi							
Cebada forrajera en verde							
Riego							
Otoño-Invierno           							
2004	102.00	102.00	0.00	1,224.00	12.00	500.00	612.00
2005	115.00	115.00	0.00	2,185.00	19.00	300.00	655.50
2006	140.00	140.00	0.00	4,760.00	34.00	350.00	1,666.00
2007	125.00	125.00	0.00	4,625.00	37.00	350.00	1,618.75
2008	125.00	125.00	0.00	4,750.00	38.00	350.00	1,662.50
2009	118.00	118.00	0.00	4,578.40	38.80	500.00	2,289.20
2010	120.00	120.00	0.00	4,560.00	38.00	500.50	2,282.28
2011	115.00	115.00	0.00	3,657.00	31.80	378.00	1,382.35
