,Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
28403,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,2,Primavera-Verano,1,Riego,200201,Tonelada,8710000,Sandía,19.0,19.0,0.0,572.0,30.11,2500.0,1430000.0
28404,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,2,Primavera-Verano,1,Riego,200201,Tonelada,8810000,Sorgo grano,2265.0,2265.0,0.0,11098.0,4.9,1290.0,14316420.0
28405,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,2,Primavera-Verano,1,Riego,200201,Tonelada,8980000,Tomate verde,60.0,60.0,0.0,252.0,4.2,4500.0,1134000.0
28406,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,2,Primavera-Verano,1,Riego,200201,Tonelada,9160000,Varios,77.0,77.0,0.0,770.0,10.0,5500.0,4235000.0
28407,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,2,Primavera-Verano,1,Riego,200201,Tonelada,15050000,Pastos y praderas,456.0,456.0,0.0,5361.0,11.76,850.0,4556850.0
28408,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,3684.0,3684.0,0.0,64470.0,17.5,1000.0,64470000.0
28409,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,3,Perennes,1,Riego,200201,Tonelada,6490000,Dátil,250.0,250.0,0.0,1500.0,6.0,22000.0,33000000.0
28410,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,750.0,750.0,0.0,3000.0,4.0,24808.0,74424000.0
28411,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,3,Perennes,1,Riego,200201,Tonelada,7850000,Naranja,24.0,24.0,0.0,245.0,10.21,450.0,110250.0
28412,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,3,Perennes,1,Riego,200201,Tonelada,9130000,Uva,7.0,7.0,0.0,17.0,2.43,8500.0,144500.0
28413,2005,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,25.0,25.0,0.0,250.0,10.0,700.0,175000.0
28414,2005,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,1,Otoño-Invierno,1,Riego,200201,Tonelada,5870000,Cártamo,156.0,156.0,0.0,159.0,1.02,2360.0,375240.0
28415,2005,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,5.0,5.0,0.0,75.0,15.0,600.0,45000.0
28416,2005,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,290.0,290.0,0.0,1508.0,5.2,1668.97,2516800.0
28417,2005,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,83.0,83.0,0.0,1162.0,14.0,750.0,871500.0
28418,2005,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,2,Primavera-Verano,1,Riego,200201,Tonelada,5190000,Algodón hueso,878.0,816.0,62.0,1715.0,2.1,3841.0,6587315.0
28419,2005,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,2,Primavera-Verano,1,Riego,200201,Tonelada,5740000,Calabacita,25.0,25.0,0.0,375.0,15.0,7785.0,2919375.0
28420,2005,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maíz grano,15.0,15.0,0.0,57.0,3.8,1681.0,95817.0
28421,2005,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,2,Primavera-Verano,1,Riego,200201,Tonelada,8710000,Sandía,7.0,7.0,0.0,105.0,15.0,2500.0,262500.0
28422,2005,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,38.0,38.0,0.0,760.0,20.0,1050.0,798000.0
