,Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Preciomediorural,Valorproduccion
29945,2022,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,5000000,Aceituna,1211.0,1211.0,0.0,11855.69,9.79,15300.0,181392057.0
29946,2022,26,Sonora,139,Caborca,2,Caborca,47,Pitiquito,3,Perennes,1,Riego,200201,Tonelada,5000000,Aceituna,12.0,12.0,0.0,104.04,8.67,12750.0,1326510.0
29947,2022,26,Sonora,139,Caborca,3,Atil,4,Altar,3,Perennes,1,Riego,200201,Tonelada,5000000,Aceituna,11.9,11.9,0.0,101.03,8.49,15200.0,1535656.0
29948,2022,26,Sonora,140,Magdalena,3,Santa Ana,64,Trincheras,3,Perennes,1,Riego,200201,Tonelada,5000000,Aceituna,2.0,2.0,0.0,9,4.5,15500.0,139500.0
29949,2022,26,Sonora,144,Hermosillo,1,Carbó,30,Hermosillo,1,Otoño-Invierno,1,Riego,200201,Tonelada,5010000,Acelga,20.0,20.0,0.0,256,12.8,11550.0,2956800.0
29950,2022,26,Sonora,144,Hermosillo,1,Carbó,30,Hermosillo,2,Primavera-Verano,1,Riego,200201,Tonelada,5010000,Acelga,6.0,6.0,0.0,61.02,10.17,10800.0,659016.0
29951,2022,26,Sonora,144,Hermosillo,1,Carbó,56,San Miguel de Horcasitas,1,Otoño-Invierno,1,Riego,200201,Tonelada,5010000,Acelga,2.0,2.0,0.0,23,11.5,11500.0,264500.0
29952,2022,26,Sonora,144,Hermosillo,1,Carbó,56,San Miguel de Horcasitas,2,Primavera-Verano,1,Riego,200201,Tonelada,5010000,Acelga,2.0,2.0,0.0,19,9.5,10450.0,198550.0
29953,2022,26,Sonora,193,San Luis Río Colorado,1,San Luis Río Colorado,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,5010000,Acelga,1.0,1.0,0.0,23,23.0,2940.0,67620.0
29954,2022,26,Sonora,142,Ures,1,Ures,50,Rayón,3,Perennes,1,Riego,200201,Tonelada,5050000,Agave,12.0,0.0,0.0,0,0.0,0.0,0.0
29955,2022,26,Sonora,142,Ures,1,Ures,66,Ures,3,Perennes,1,Riego,200201,Tonelada,5050000,Agave,11.0,0.0,0.0,0,0.0,0.0,0.0
29956,2022,26,Sonora,144,Hermosillo,1,Carbó,30,Hermosillo,3,Perennes,1,Riego,200201,Tonelada,5050000,Agave,4.0,0.0,0.0,0,0.0,0.0,0.0
29957,2022,26,Sonora,145,Mazatán,1,Villa Pesqueira,57,San Pedro de La Cueva,3,Perennes,1,Riego,200201,Tonelada,5050000,Agave,33.0,0.0,0.0,0,0.0,0.0,0.0
29958,2022,26,Sonora,145,Mazatán,2,La Colorada,62,Suaqui Grande,3,Perennes,1,Riego,200201,Tonelada,5050000,Agave,84.0,0.0,0.0,0,0.0,0.0,0.0
29959,2022,26,Sonora,148,Cajeme,2,Villa Juárez,71,Benito Juárez,3,Perennes,1,Riego,200201,Tonelada,5050000,Agave,8.0,0.0,0.0,0,0.0,0.0,0.0
29960,2022,26,Sonora,144,Hermosillo,1,Carbó,30,Hermosillo,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,7.8,0.0,0.0,0,0.0,0.0,0.0
29961,2022,26,Sonora,148,Cajeme,3,Bácum,72,San Ignacio Río Muerto,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,9.0,0.0,0.0,0,0.0,0.0,0.0
29962,2022,26,Sonora,148,Cajeme,4,Pueblo Yaqui,12,Bácum,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,372.0,0.0,0.0,0,0.0,0.0,0.0
29963,2022,26,Sonora,149,Navojoa,1,Navojoa,42,Navojoa,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,16.0,16.0,0.0,230.4,14.4,30000.0,6912000.0
29964,2022,26,Sonora,149,Navojoa,2,Etchojoa,26,Etchojoa,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,6.0,6.0,0.0,87,14.5,30000.0,2610000.0
29965,2022,26,Sonora,149,Navojoa,3,Huatabampo,33,Huatabampo,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,8.0,8.0,0.0,113.6,14.2,30000.0,3408000.0
29966,2022,26,Sonora,140,Magdalena,1,Magdalena,36,Magdalena,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,2.0,2.0,0.0,16.5,8.25,29500.0,486750.0
29967,2022,26,Sonora,140,Magdalena,3,Santa Ana,58,Santa Ana,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,3.0,3.0,0.0,26,8.67,29500.0,767000.0
29968,2022,26,Sonora,141,Agua Prieta,1,Agua Prieta,2,Agua Prieta,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,15.0,15.0,0.0,120,8.0,27758.33,3330999.6
29969,2022,26,Sonora,141,Agua Prieta,1,Agua Prieta,27,Fronteras,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,18.0,18.0,0.0,147,8.17,28014.29,4118100.63
29970,2022,26,Sonora,141,Agua Prieta,2,Cananea,11,Bacoachi,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,50.0,50.0,0.0,410,8.2,29210.0,11976100.0
29971,2022,26,Sonora,141,Agua Prieta,2,Cananea,19,Cananea,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,16.0,16.0,0.0,130,8.13,27869.23,3622999.9
29972,2022,26,Sonora,141,Agua Prieta,2,Cananea,39,Naco,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,50.0,50.0,0.0,395,7.9,28384.56,11211901.2
29973,2022,26,Sonora,142,Ures,1,Ures,66,Ures,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,70.0,70.0,0.0,600,8.57,30000.0,18000000.0
