,Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo Sin Um,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
29378,2017,26,Sonora,139,Caborca,1,Sonoyta,48,Puerto Peñasco,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,120.0,120.0,0.0,955.0,7.96,37619.52,35926641.55
29379,2017,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,27.0,27.0,0.0,472.5,17.5,468.28,221262.3
29380,2017,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,1106.0,1106.0,0.0,4755.8,4.3,3767.93,17919521.49
29381,2017,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,2,Primavera-Verano,1,Riego,200201,Tonelada,5190000,Algodón hueso,709.0,709.0,0.0,2268.8,3.2,10752.34,24394908.99
29382,2017,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,630.0,630.0,0.0,12285.0,19.5,2192.63,26936459.55
29383,2017,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,960.0,960.0,0.0,8931.6,9.3,37742.85,337104054.65
29384,2017,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,18.0,18.0,0.0,396.0,22.0,675.52,267505.92
29385,2017,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,5870000,Cártamo,67.0,67.0,0.0,93.8,1.4,6450.0,605010.0
29386,2017,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,15.0,15.0,0.0,450.0,30.0,5386.67,2424001.5
29387,2017,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,21.0,21.0,0.0,94.5,4.5,4500.0,425250.0
