,Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Preciomediorural,Valorproduccion
33182,2024,26,Sonora,139,Caborca,1,Sonoyta,48,Puerto Peñasco,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,25.0,25.0,0.0,277.5,11.1,40421.62,11216999.55
33183,2024,26,Sonora,139,Caborca,1,Sonoyta,48,Puerto Peñasco,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,415.0,415.0,0.0,4648.0,11.2,41712.5,193879700.0
33184,2024,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,15.0,15.0,0.0,330.0,22.0,836.67,276101.1
33185,2024,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,45.0,45.0,0.0,270.0,6.0,7306.1,1972647.0
33186,2024,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,60.0,60.0,0.0,1350.0,22.5,915.0,1235250.0
33187,2024,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,2,Primavera-Verano,1,Riego,200201,Tonelada,5190000,Algodón hueso,32.0,32.0,0.0,144.96,4.53,11500.0,1667040.0
33188,2024,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,10.0,10.0,0.0,230.0,23.0,850.0,195500.0
33189,2024,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa,610.0,610.0,0.0,58560.0,19.2,3108.61,36408040.32
33190,2024,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,934.0,934.0,0.0,10741.0,11.5,41700.0,447899700.0
33191,2024,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,65.0,65.0,0.0,1385.15,21.31,840.51,1164232.43
33192,2024,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,20.0,20.0,0.0,450.0,22.5,915.0,411750.0
33193,2024,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,7.0,7.0,0.0,245.0,35.0,6000.0,1470000.0
33194,2024,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,6120000,Chile verde,20.0,20.0,0.0,1900.0,95.0,12500.0,23750000.0
33195,2024,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,6320000,Col de bruselas,30.0,30.0,0.0,750.0,25.0,10600.0,7950000.0
33196,2024,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,410.0,410.0,0.0,2460.0,6.0,7235.1,17798346.0
33197,2024,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,220.0,220.0,0.0,5099.6,23.18,910.0,4640636.0
33198,2024,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,5760000,Calabaza,15.0,15.0,0.0,315.0,21.0,10320.0,3250800.0
33199,2024,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,6120000,Chile verde,2.0,2.0,0.0,50.0,25.0,9090.0,454500.0
33200,2024,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,6120000,Chile verde,20.0,20.0,0.0,2040.0,102.0,13500.0,27540000.0
33201,2024,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,7670000,Melón,148.0,148.0,0.0,5049.76,34.12,7500.0,37873200.0
33202,2024,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,8100000,Papa,1765.0,1765.0,0.0,79354.4,44.96,8350.0,662609240.0
33203,2024,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,8210000,Pepino,10.0,10.0,0.0,1430.0,143.0,8376.73,11978723.9
33204,2024,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,8710000,Sandía,10.0,10.0,0.0,485.0,48.5,5500.0,2667500.0
