,Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo Sin Um,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
29252,2019,26,Sonora,139,Caborca,1,Sonoyta,48,Puerto Peñasco,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,420.0,420.0,0.0,3634.4,8.65,33362.72,121253457.08
29253,2019,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,23.0,23.0,0.0,375.0,16.3,465.08,174405.0
29254,2019,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,585.0,455.0,130.0,2457.0,5.4,3895.0,9570015.0
29255,2019,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,40.0,40.0,0.0,652.0,16.3,646.0,421192.0
29256,2019,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,2,Primavera-Verano,1,Riego,200201,Tonelada,5190000,Algodón hueso,421.0,421.0,0.0,1684.0,4.0,10752.15,18106620.6
29257,2019,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,16.0,16.0,0.0,264.0,16.5,665.0,175560.0
29258,2019,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,750.0,750.0,0.0,14158.0,18.88,2242.31,31746624.98
29259,2019,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,965.0,965.0,0.0,8020.5,8.31,33435.37,268168396.26
29260,2019,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,12.0,12.0,0.0,201.6,16.8,479.17,96600.67
29261,2019,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,21.0,21.0,0.0,104.9,5.0,7247.47,760259.6
29262,2019,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,6320000,Col de bruselas,44.5,44.5,0.0,1125.85,25.3,25405.35,28602613.3
29263,2019,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,6790000,Semilla de flores,25.0,25.0,0.0,25.0,1.0,6800.0,170000.0
29264,2019,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,638.0,638.0,0.0,3381.6,5.3,3911.93,13228582.49
