,Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Preciomediorural,Valorproduccion
23300,2021,26,Sonora,142,Ures,2,Banámichi,53,San Felipe de Jesús,2,Primavera-Verano,2,Temporal,200201,Tonelada,8790000,Sorgo forrajero en verde,15,15.0,0.0,259.95,17.33,800.0,207960.0
23301,2021,26,Sonora,142,Ures,2,Banámichi,53,San Felipe de Jesús,2,Primavera-Verano,2,Temporal,200201,Tonelada,8810000,Sorgo grano,3,3.0,0.0,4.41,1.47,5050.0,22270.5
23302,2021,26,Sonora,142,Ures,2,Banámichi,53,San Felipe de Jesús,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,110,110.0,0.0,1502.6,13.66,3535.1,5311841.26
23303,2021,26,Sonora,142,Ures,2,Banámichi,53,San Felipe de Jesús,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,35,35.0,0.0,45.15,1.29,93500.0,4221525.0
23304,2021,26,Sonora,143,Moctezuma,1,Moctezuma,23,Cumpas,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,6,6.0,0.0,36.0,6.0,19500.0,702000.0
23305,2021,26,Sonora,143,Moctezuma,1,Moctezuma,23,Cumpas,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,100,100.0,0.0,2000.0,20.0,662.56,1325120.0
23306,2021,26,Sonora,143,Moctezuma,1,Moctezuma,23,Cumpas,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,15,10.0,5.0,45.0,4.5,5500.0,247500.0
23307,2021,26,Sonora,143,Moctezuma,1,Moctezuma,23,Cumpas,2,Primavera-Verano,1,Riego,200201,Tonelada,6120000,Chile verde,5,5.0,0.0,46.5,9.3,8100.0,376650.0
23308,2021,26,Sonora,143,Moctezuma,1,Moctezuma,23,Cumpas,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,5,5.0,0.0,6.0,1.2,18140.0,108840.0
23309,2021,26,Sonora,143,Moctezuma,1,Moctezuma,23,Cumpas,2,Primavera-Verano,1,Riego,200201,Tonelada,7470000,Maíz forrajero en verde,18,18.0,0.0,261.0,14.5,690.8,180298.8
23310,2021,26,Sonora,143,Moctezuma,1,Moctezuma,23,Cumpas,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maíz grano,12,12.0,0.0,55.2,4.6,5413.04,298799.81
23311,2021,26,Sonora,143,Moctezuma,1,Moctezuma,23,Cumpas,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,350,350.0,0.0,5390.0,15.4,705.9,3804801.0
23312,2021,26,Sonora,143,Moctezuma,1,Moctezuma,23,Cumpas,2,Primavera-Verano,2,Temporal,200201,Tonelada,7470000,Maíz forrajero en verde,8,8.0,0.0,56.0,7.0,682.5,38220.0
23313,2021,26,Sonora,143,Moctezuma,1,Moctezuma,23,Cumpas,2,Primavera-Verano,2,Temporal,200201,Tonelada,8790000,Sorgo forrajero en verde,400,400.0,0.0,2920.0,7.3,711.3,2076996.0
23314,2021,26,Sonora,143,Moctezuma,1,Moctezuma,23,Cumpas,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,180,180.0,0.0,2430.0,13.5,2847.04,6918307.2
23315,2021,26,Sonora,143,Moctezuma,1,Moctezuma,23,Cumpas,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,13,0.0,0.0,0.0,0.0,0.0,0.0
23316,2021,26,Sonora,143,Moctezuma,1,Moctezuma,24,Divisaderos,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,55,55.0,0.0,1364.0,24.8,657.74,897157.36
23317,2021,26,Sonora,143,Moctezuma,1,Moctezuma,24,Divisaderos,2,Primavera-Verano,1,Riego,200201,Tonelada,7470000,Maíz forrajero en verde,12,12.0,0.0,153.6,12.8,662.89,101819.9
23318,2021,26,Sonora,143,Moctezuma,1,Moctezuma,24,Divisaderos,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,120,120.0,0.0,1800.0,15.0,687.67,1237806.0
23319,2021,26,Sonora,143,Moctezuma,1,Moctezuma,24,Divisaderos,2,Primavera-Verano,2,Temporal,200201,Tonelada,7470000,Maíz forrajero en verde,7,7.0,0.0,49.0,7.0,668.06,32734.94
23320,2021,26,Sonora,143,Moctezuma,1,Moctezuma,24,Divisaderos,2,Primavera-Verano,2,Temporal,200201,Tonelada,8790000,Sorgo forrajero en verde,170,170.0,0.0,1241.0,7.3,724.14,898657.74
