Anio,Idestado,Nomestado,Idciclo,Idmodalidad,Nomcultivo,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
1991,1,Aguascalientes,1,1,Ajo,1444.0,0.0,11731.0,8.12,3017.96,35403647.0
1991,1,Aguascalientes,1,1,Avena forrajera en verde,2426.0,0.0,58905.0,24.28,70.24,4137605.0
1991,1,Aguascalientes,1,1,Brócoli,177.0,0.0,1908.0,10.78,797.34,1521334.0
1991,1,Aguascalientes,1,1,Calabacita,2.0,8.0,28.0,14.0,600.0,16800.0
1991,1,Aguascalientes,1,1,Cebada forrajera en verde,24.0,0.0,480.0,20.0,65.0,31200.0
1991,1,Aguascalientes,1,1,Cebada grano,28.0,4.0,72.0,2.57,500.0,36000.0
1991,1,Aguascalientes,1,1,Cebolla,49.0,0.0,734.0,14.98,554.7,407150.0
1991,1,Aguascalientes,1,1,Chícharo,16.0,0.0,58.0,3.63,1758.62,102000.0
1991,1,Aguascalientes,1,1,Cilantro,7.0,0.0,31.0,4.43,1072.35,33243.0
1991,1,Aguascalientes,1,1,Col (repollo),112.0,3.0,4287.0,38.28,263.41,1129260.0
1991,1,Aguascalientes,1,1,Coliflor,208.0,0.0,2127.0,10.23,836.52,1779280.0
1991,1,Aguascalientes,1,1,Espinaca,56.0,2.0,672.0,12.0,900.0,604800.0
1991,1,Aguascalientes,1,1,Lechuga,104.0,0.0,1418.0,13.63,417.93,592625.0
1991,1,Aguascalientes,1,1,Pepino,0.0,9.0,0.0,0.0,0.0,0.0
1991,1,Aguascalientes,1,1,Rábano,4.0,0.0,22.0,5.5,906.82,19950.0
1991,1,Aguascalientes,1,1,Trigo grano,0.0,7.0,0.0,0.0,0.0,0.0
1991,1,Aguascalientes,1,1,Zanahoria,41.0,4.0,328.0,8.0,851.0,279128.0
1991,1,Aguascalientes,2,1,Avena forrajera en verde,32.0,0.0,1106.0,34.56,116.53,128885.0
1991,1,Aguascalientes,2,1,Brócoli,306.0,9.0,2210.0,7.22,943.71,2085595.0
1991,1,Aguascalientes,2,1,Calabacita,150.0,55.0,2029.0,13.53,565.8,1148000.0
1991,1,Aguascalientes,2,1,Camote,28.0,0.0,420.0,15.0,557.14,234000.0
1991,1,Aguascalientes,2,1,Cebolla,127.0,12.0,2117.0,16.67,391.87,829599.0
1991,1,Aguascalientes,2,1,Chícharo,45.0,2.0,143.0,3.18,1583.22,226400.0
1991,1,Aguascalientes,2,1,Chile verde,1191.0,556.0,5711.0,4.8,1546.11,8829840.0
1991,1,Aguascalientes,2,1,Cilantro,8.0,1.0,37.0,4.63,787.78,29148.0
1991,1,Aguascalientes,2,1,Col (repollo),126.0,12.0,5924.0,47.02,306.13,1813496.0
1991,1,Aguascalientes,2,1,Coliflor,65.0,0.0,503.0,7.74,838.57,421800.0
1991,1,Aguascalientes,2,1,Ejote,74.0,1.0,481.0,6.5,1120.17,538800.0
1991,1,Aguascalientes,2,1,Elote,269.0,0.0,4040.0,15.02,520.47,2102687.0
1991,1,Aguascalientes,2,1,Frijol,3322.0,938.0,3687.0,1.11,2914.7,10746503.0
1991,1,Aguascalientes,2,1,Lechuga,64.0,34.0,1272.0,19.88,461.82,587440.0
1991,1,Aguascalientes,2,1,Maíz forrajero en verde,8780.0,143.0,392869.0,44.75,75.25,29563914.0
1991,1,Aguascalientes,2,1,Maíz grano,9315.0,601.0,38218.0,4.1,715.67,27351476.0
1991,1,Aguascalientes,2,1,Papa,1185.0,21.0,26820.0,22.63,549.64,14741211.0
1991,1,Aguascalientes,2,1,Pepino,26.0,9.0,583.0,22.42,597.08,348099.0
1991,1,Aguascalientes,2,1,Rábano,5.0,0.0,33.0,6.6,686.36,22650.0
1991,1,Aguascalientes,2,1,Sorgo forrajero en verde,105.0,0.0,3910.0,37.24,56.02,219023.0
1991,1,Aguascalientes,2,1,Sorgo grano,507.0,0.0,3092.0,6.1,412.78,1276319.0
1991,1,Aguascalientes,2,1,Tomate rojo (jitomate),70.0,23.0,850.0,12.14,1114.04,946937.0
1991,1,Aguascalientes,2,1,Tomate verde,139.0,36.0,1701.0,12.24,743.43,1264571.0
1991,1,Aguascalientes,2,1,Zanahoria,3.0,0.0,44.0,14.67,365.45,16080.0
1991,1,Aguascalientes,2,2,Avena forrajera en verde,96.0,1.0,775.0,8.07,85.63,66360.0
1991,1,Aguascalientes,2,2,Cebada grano,182.0,28.0,124.0,0.68,633.01,78493.0
1991,1,Aguascalientes,2,2,Frijol,3278.0,3823.0,794.0,0.24,2327.28,1847860.0
1991,1,Aguascalientes,2,2,Maíz forrajero en verde,8563.0,1353.0,93630.0,10.93,66.02,6181396.0
1991,1,Aguascalientes,2,2,Maíz grano,28640.0,18766.0,9202.0,0.32,688.38,6334427.0
1991,1,Aguascalientes,2,2,Mijo forrajero verde,0.0,1.0,0.0,0.0,0.0,0.0
1991,1,Aguascalientes,2,2,Sorgo forrajero en verde,565.0,0.0,2080.0,3.68,70.0,145600.0
1991,1,Aguascalientes,2,2,Trigo grano,58.0,27.0,38.0,0.66,586.24,22277.0
1991,1,Aguascalientes,3,1,Aguacate,6.0,0.0,42.0,7.0,1500.0,63000.0
1991,1,Aguascalientes,3,1,Alfalfa verde,8234.0,0.0,756941.0,91.93,76.46,57874195.0
1991,1,Aguascalientes,3,1,Chabacano,6.0,0.0,24.0,4.0,2700.0,64800.0
1991,1,Aguascalientes,3,1,Ciruela,17.0,0.0,70.0,4.12,1984.29,138900.0
1991,1,Aguascalientes,3,1,Durazno,807.0,0.0,6331.0,7.85,2009.35,12721176.0
1991,1,Aguascalientes,3,1,Fresa,0.0,0.0,0.0,0.0,0.0,0.0
1991,1,Aguascalientes,3,1,Guayaba,7227.0,0.0,126299.0,17.48,645.65,81545455.0
1991,1,Aguascalientes,3,1,Lima,3.0,0.0,27.0,9.0,862.89,23298.0
1991,1,Aguascalientes,3,1,Limón,2.0,0.0,12.0,6.0,700.0,8400.0
1991,1,Aguascalientes,3,1,Manzana,2.0,0.0,18.0,9.0,2500.0,45000.0
1991,1,Aguascalientes,3,1,Membrillo,10.0,0.0,60.0,6.0,683.33,41000.0
1991,1,Aguascalientes,3,1,Naranja,2.0,0.0,30.0,15.0,800.0,24000.0
1991,1,Aguascalientes,3,1,Nopalitos,6.0,0.0,207.0,34.5,176.16,36465.0
1991,1,Aguascalientes,3,1,Nuez,142.0,0.0,150.0,1.06,5982.63,897395.0
1991,1,Aguascalientes,3,1,Persimonio,6.0,0.0,26.0,4.33,3307.69,86000.0
1991,1,Aguascalientes,3,1,Uva,2583.0,0.0,17041.0,6.6,413.79,7051429.0
1991,1,Aguascalientes,3,1,Pastos y praderas,1386.0,0.0,33259.0,24.0,63.22,2102546.0
1991,1,Aguascalientes,3,2,Tuna,638.0,0.0,1333.0,2.09,1487.0,1982165.0
1991,2,Baja California,1,1,Acelga,36.0,0.0,331.0,9.19,1665.0,551115.0
1991,2,Baja California,1,1,Ajo,144.0,1.0,804.0,5.58,6930.44,5572077.0
1991,2,Baja California,1,1,Apio,105.0,0.0,1644.0,15.66,769.61,1265232.0
1991,2,Baja California,1,1,Avena forrajera en verde,2071.0,0.0,61006.0,29.46,164.37,10027723.0
1991,2,Baja California,1,1,Avena grano,18.0,0.0,18.0,1.0,550.0,9900.0
1991,2,Baja California,1,1,Berenjena,14.0,0.0,84.0,6.0,875.0,73500.0
1991,2,Baja California,1,1,Betabel,65.0,0.0,778.0,11.97,850.72,661860.0
1991,2,Baja California,1,1,Brócoli,304.0,43.0,2214.0,7.28,930.15,2059359.0
1991,2,Baja California,1,1,Calabacita,374.0,40.0,3674.0,9.82,810.91,2979269.0
1991,2,Baja California,1,1,Cártamo,1363.0,45.0,3764.0,2.76,663.3,2496661.0
1991,2,Baja California,1,1,Cebada forrajera en verde,1134.0,0.0,13778.0,12.15,109.98,1515277.0
1991,2,Baja California,1,1,Cebada grano,3669.0,102.0,12622.0,3.44,460.96,5818237.0
1991,2,Baja California,1,1,Cebolla,3315.0,64.0,40709.0,12.28,1386.78,56454392.0
1991,2,Baja California,1,1,Chícharo,68.0,10.0,234.0,3.44,1977.06,462633.0
1991,2,Baja California,1,1,Chile verde,21.0,1.0,143.0,6.81,1168.18,167050.0
1991,2,Baja California,1,1,Cilantro,233.0,9.0,1638.0,7.03,2909.81,4766270.0
1991,2,Baja California,1,1,Col (repollo),125.0,2.0,2584.0,20.67,557.04,1439389.0
1991,2,Baja California,1,1,Col de bruselas,183.0,0.0,2537.0,13.86,1536.0,3896832.0
1991,2,Baja California,1,1,Ejote,10.0,2.0,29.0,2.9,2324.14,67400.0
1991,2,Baja California,1,1,Espinaca,124.0,8.0,1189.0,9.59,962.94,1144940.0
1991,2,Baja California,1,1,Flores,14.0,13.0,111.0,7.93,1815.14,201480.0
1991,2,Baja California,1,1,Fresa,194.0,0.0,1339.0,6.9,3252.24,4354756.0
1991,2,Baja California,1,1,Haba grano,45.0,0.0,148.0,3.29,2276.0,336848.0
1991,2,Baja California,1,1,Hortalizas,81.0,4.0,821.0,10.14,660.9,542600.0
1991,2,Baja California,1,1,Lechuga,364.0,7.0,5672.0,15.58,1049.56,5953087.0
