Anio,Idestado,Nomestado,Idciclo,Idmodalidad,Idcultivo,Nomcultivo,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
1989,1,Aguascalientes,1,1,5070000,Ajo,1148.0,0.0,8687.0,7.57,1872.62,16267441.0
1989,1,Aguascalientes,1,1,5270000,Alpiste,57.0,0.0,86.0,1.51,994.19,85500.0
1989,1,Aguascalientes,1,1,5490000,Avena forrajera en verde,2894.0,0.0,70756.0,24.45,38.35,2713537.0
1989,1,Aguascalientes,1,1,5670000,Brócoli,180.0,0.0,2399.0,13.33,490.33,1176300.0
1989,1,Aguascalientes,1,1,5900000,Cebada forrajera en verde,8.0,0.0,160.0,20.0,40.0,6400.0
1989,1,Aguascalientes,1,1,5940000,Cebolla,53.0,0.0,918.0,17.32,282.45,259290.0
1989,1,Aguascalientes,1,1,6070000,Chícharo,6.0,0.0,18.0,3.0,672.67,12108.0
1989,1,Aguascalientes,1,1,6190000,Cilantro,4.0,0.0,22.0,5.5,309.09,6800.0
1989,1,Aguascalientes,1,1,6310000,Col (repollo),102.0,0.0,3092.0,30.31,220.82,682780.0
1989,1,Aguascalientes,1,1,6320000,Col de bruselas,65.0,0.0,975.0,15.0,650.0,633750.0
1989,1,Aguascalientes,1,1,6330000,Coliflor,29.0,0.0,368.0,12.69,480.22,176720.0
1989,1,Aguascalientes,1,1,6670000,Espinaca,60.0,0.0,900.0,15.0,500.0,450000.0
1989,1,Aguascalientes,1,1,7330000,Lechuga,89.0,0.0,1029.0,11.56,174.93,180000.0
1989,1,Aguascalientes,1,1,9050000,Trigo grano,77.0,0.0,235.0,3.05,382.13,89800.0
1989,1,Aguascalientes,1,1,9270000,Zanahoria,64.0,0.0,784.0,12.25,488.02,382604.0
1989,1,Aguascalientes,2,1,5490000,Avena forrajera en verde,55.0,0.0,1212.0,22.04,46.72,56630.0
1989,1,Aguascalientes,2,1,5670000,Brócoli,316.0,0.0,2767.0,8.76,591.04,1635400.0
1989,1,Aguascalientes,2,1,5740000,Calabacita,248.0,0.0,3308.0,13.34,526.46,1741514.0
1989,1,Aguascalientes,2,1,5790000,Camote,15.0,0.0,261.0,17.4,394.82,103049.0
1989,1,Aguascalientes,2,1,5940000,Cebolla,88.0,0.0,1251.0,14.22,161.32,201817.0
1989,1,Aguascalientes,2,1,6070000,Chícharo,51.0,0.0,158.0,3.1,1111.54,175623.0
1989,1,Aguascalientes,2,1,6120000,Chile verde,2532.0,0.0,15986.0,6.31,582.11,9305597.0
1989,1,Aguascalientes,2,1,6310000,Col (repollo),136.0,0.0,4524.0,33.26,304.05,1375500.0
1989,1,Aguascalientes,2,1,6330000,Coliflor,27.0,0.0,270.0,10.0,407.41,110000.0
1989,1,Aguascalientes,2,1,6600000,Ejote,6.0,0.0,42.0,7.0,1860.0,78120.0
1989,1,Aguascalientes,2,1,6610000,Elote,145.0,0.0,4056.0,27.97,628.38,2548700.0
1989,1,Aguascalientes,2,1,6840000,Frijol,2821.0,0.0,3454.0,1.22,884.64,3055558.0
1989,1,Aguascalientes,2,1,7330000,Lechuga,92.0,0.0,1417.0,15.4,274.96,389620.0
1989,1,Aguascalientes,2,1,7470000,Maíz forrajero en verde,5104.0,0.0,214833.0,42.09,47.2,10139949.0
1989,1,Aguascalientes,2,1,7490000,Maíz grano,11095.0,0.0,39025.0,3.52,460.34,17964860.0
1989,1,Aguascalientes,2,1,8100000,Papa,450.0,0.0,11492.0,25.54,1873.3,21528000.0
1989,1,Aguascalientes,2,1,8210000,Pepino,44.0,0.0,997.0,22.66,275.58,274750.0
1989,1,Aguascalientes,2,1,8490000,Rábano,2.0,0.0,22.0,11.0,250.0,5500.0
1989,1,Aguascalientes,2,1,8790000,Sorgo forrajero en verde,43.0,0.0,1920.0,44.65,56.56,108590.0
1989,1,Aguascalientes,2,1,8810000,Sorgo grano,982.0,0.0,5712.0,5.82,360.64,2059961.0
1989,1,Aguascalientes,2,1,8970000,Tomate rojo (jitomate),90.0,6.0,1354.0,15.04,562.23,761259.0
1989,1,Aguascalientes,2,1,8980000,Tomate verde,202.0,0.0,2649.0,13.11,212.7,563439.0
1989,1,Aguascalientes,2,1,9050000,Trigo grano,2.0,0.0,2.0,1.0,800.0,1600.0
1989,1,Aguascalientes,2,1,9270000,Zanahoria,2.0,0.0,60.0,30.0,486.0,29160.0
1989,1,Aguascalientes,2,2,5490000,Avena forrajera en verde,41.0,32.0,599.0,14.61,45.74,27400.0
1989,1,Aguascalientes,2,2,5900000,Cebada forrajera en verde,16.0,6.0,128.0,8.0,50.0,6400.0
1989,1,Aguascalientes,2,2,5920000,Cebada grano,436.0,61.0,176.0,0.4,418.66,73684.0
1989,1,Aguascalientes,2,2,6840000,Frijol,1049.0,12674.0,285.0,0.27,1101.71,313986.0
1989,1,Aguascalientes,2,2,7470000,Maíz forrajero en verde,4602.0,1234.0,40354.0,8.77,56.42,2276777.0
1989,1,Aguascalientes,2,2,7490000,Maíz grano,7367.0,53387.0,2774.0,0.38,522.63,1449777.0
1989,1,Aguascalientes,2,2,7750000,Mijo forrajero verde,6.0,17.0,192.0,32.0,42.15,8093.0
1989,1,Aguascalientes,2,2,8790000,Sorgo forrajero en verde,220.0,0.0,1100.0,5.0,45.0,49500.0
1989,1,Aguascalientes,2,2,8810000,Sorgo grano,7.0,3.0,7.0,1.0,385.14,2696.0
1989,1,Aguascalientes,3,1,5060000,Aguacate,8.0,0.0,64.0,8.0,665.7,42605.0
1989,1,Aguascalientes,3,1,5170000,Alfalfa verde,8378.0,0.0,745537.0,88.99,39.55,29484975.0
1989,1,Aguascalientes,3,1,6020000,Chabacano,3.0,0.0,4.0,1.33,2500.0,10000.0
1989,1,Aguascalientes,3,1,6220000,Ciruela,7.0,0.0,38.0,5.43,1289.45,48999.0
1989,1,Aguascalientes,3,1,6530000,Durazno,1273.0,0.0,9416.0,7.4,1901.29,17902535.0
1989,1,Aguascalientes,3,1,7010000,Granada,10.0,0.0,60.0,6.0,250.0,15000.0
1989,1,Aguascalientes,3,1,7060000,Guayaba,7116.0,0.0,114862.0,16.14,669.89,76945361.0
1989,1,Aguascalientes,3,1,7380000,Lima,3.0,0.0,27.0,9.0,350.0,9450.0
1989,1,Aguascalientes,3,1,7390000,Limón,2.0,0.0,24.0,12.0,400.0,9600.0
