Anio,Idestado,Nomestado,Idciclo,Idmodalidad,Idcultivo,Nomcultivo,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
1985,10,Durango,1,1,9040000,Trigo forrajero verde,10.0,0.0,35.0,3.5,18.0,630.0
1985,10,Durango,1,1,9050000,Trigo grano,8918.0,1171.0,27540.0,3.09,38.21,1052358.0
1985,10,Durango,2,1,5190000,Algodón hueso,20336.0,0.0,68114.0,3.35,58.27,3969003.0
1985,10,Durango,2,1,5490000,Avena forrajera en verde,1981.0,283.0,37568.0,18.96,6.02,226009.0
1985,10,Durango,2,1,5510000,Avena grano,163.0,0.0,511.0,3.13,45.0,22995.0
1985,10,Durango,2,1,5690000,Cacahuate,399.0,0.0,709.0,1.78,200.0,141800.0
1985,10,Durango,2,1,5740000,Calabacita,69.0,0.0,1126.0,16.32,78.0,87828.0
1985,10,Durango,2,1,5920000,Cebada grano,87.0,0.0,240.0,2.76,37.0,8880.0
1985,10,Durango,2,1,5940000,Cebolla,293.0,0.0,4236.0,14.46,78.0,330408.0
1985,10,Durango,2,1,6120000,Chile verde,3573.0,2020.0,27766.0,7.77,88.89,2468247.0
1985,10,Durango,2,1,6610000,Elote,1.0,9.0,3.0,3.0,60.0,180.0
1985,10,Durango,2,1,6840000,Frijol,9428.0,367.0,11983.0,1.27,160.64,1924985.0
1985,10,Durango,2,1,6940000,Girasol,346.0,0.0,575.0,1.66,115.0,66125.0
1985,10,Durango,2,1,7470000,Maíz forrajero en verde,5894.0,0.0,224327.0,38.06,4.0,898205.0
1985,10,Durango,2,1,7490000,Maíz grano,51738.0,942.0,129234.0,2.5,52.36,6766305.0
1985,10,Durango,2,1,7670000,Melón,2100.0,0.0,34654.0,16.5,38.5,1334179.0
1985,10,Durango,2,1,8100000,Papa,305.0,16.0,2797.0,9.17,55.0,153835.0
1985,10,Durango,2,1,8710000,Sandía,614.0,0.0,16390.0,26.69,23.8,390082.0
1985,10,Durango,2,1,8770000,Sorgo escobero,1140.0,0.0,6385.0,5.6,35.0,223475.0
1985,10,Durango,2,1,8790000,Sorgo forrajero en verde,2545.0,0.0,90811.0,35.68,3.67,333004.0
1985,10,Durango,2,1,8810000,Sorgo grano,10133.0,200.0,37954.0,3.75,25.74,977050.0
1985,10,Durango,2,1,8970000,Tomate rojo (jitomate),798.0,2.0,21688.0,27.18,68.01,1475044.0
1985,10,Durango,2,1,9050000,Trigo grano,287.0,10.0,793.0,2.76,37.0,29341.0
1985,10,Durango,2,1,9270000,Zanahoria,13.0,0.0,112.0,8.62,65.0,7280.0
