Anio,Idestado,Nomestado,Idciclo,Nommodalidad,Nomunidad,Nomcultivo,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
1987,1,Aguascalientes,1,Riego,Tonelada,Ajo,1510.0,0.0,14670.0,9.72,616.45,9043263.0
1987,1,Aguascalientes,1,Riego,Tonelada,Alpiste,11.0,0.0,22.0,2.0,530.0,11660.0
1987,1,Aguascalientes,1,Riego,Tonelada,Avena forrajera en verde,2520.0,16.0,58304.0,23.14,10.19,594088.0
1987,1,Aguascalientes,1,Riego,Tonelada,Brócoli,118.0,0.0,2285.0,19.36,136.87,312759.0
1987,1,Aguascalientes,1,Riego,Tonelada,Cebada forrajera en verde,80.0,0.0,2276.0,28.45,13.0,29588.0
1987,1,Aguascalientes,1,Riego,Tonelada,Cebolla,30.0,0.0,286.0,9.53,60.04,17172.0
1987,1,Aguascalientes,1,Riego,Tonelada,Chícharo,8.0,0.0,51.0,6.38,222.04,11324.0
1987,1,Aguascalientes,1,Riego,Tonelada,Cilantro,7.0,0.0,11.0,1.57,221.82,2440.0
1987,1,Aguascalientes,1,Riego,Tonelada,Col (repollo),77.0,0.0,2289.0,29.73,55.87,127882.0
1987,1,Aguascalientes,1,Riego,Tonelada,Col de bruselas,25.0,0.0,375.0,15.0,330.0,123750.0
1987,1,Aguascalientes,1,Riego,Tonelada,Lechuga,15.0,0.0,259.0,17.27,48.61,12590.0
1987,1,Aguascalientes,1,Riego,Tonelada,Pepino,0.0,2.0,0.0,0.0,0.0,0.0
1987,1,Aguascalientes,1,Riego,Tonelada,Trigo grano,13.0,0.0,35.0,2.69,124.71,4365.0
1987,1,Aguascalientes,2,Riego,Tonelada,Avena forrajera en verde,130.0,0.0,3131.0,24.08,13.22,41384.0
1987,1,Aguascalientes,2,Riego,Tonelada,Brócoli,456.0,16.0,4754.0,10.43,201.7,958893.0
1987,1,Aguascalientes,2,Riego,Tonelada,Calabacita,122.0,1.0,1809.0,14.83,109.4,197909.0
1987,1,Aguascalientes,2,Riego,Tonelada,Camote,9.0,0.0,201.0,22.33,147.57,29661.0
1987,1,Aguascalientes,2,Riego,Tonelada,Cebolla,88.0,3.0,1072.0,12.18,135.88,145660.0
1987,1,Aguascalientes,2,Riego,Tonelada,Chícharo,7.0,0.0,35.0,5.0,303.14,10610.0
1987,1,Aguascalientes,2,Riego,Tonelada,Chile verde,1195.0,10.0,6092.0,5.1,322.55,1965004.0
1987,1,Aguascalientes,2,Riego,Tonelada,Cilantro,3.0,0.0,26.0,8.67,235.77,6130.0
1987,1,Aguascalientes,2,Riego,Tonelada,Col (repollo),138.0,7.0,5207.0,37.73,102.21,532215.0
1987,1,Aguascalientes,2,Riego,Tonelada,Coliflor,100.0,0.0,1742.0,17.42,190.69,332190.0
1987,1,Aguascalientes,2,Riego,Tonelada,Elote,30.0,15.0,365.0,12.17,108.03,39430.0
1987,1,Aguascalientes,2,Riego,Tonelada,Frijol,4512.0,56.0,6739.0,1.49,433.46,2921078.0
1987,1,Aguascalientes,2,Riego,Tonelada,Lechuga,39.0,0.0,519.0,13.31,81.67,42387.0
1987,1,Aguascalientes,2,Riego,Tonelada,Maíz forrajero en verde,4788.0,0.0,213489.0,44.59,12.67,2704400.0
1987,1,Aguascalientes,2,Riego,Tonelada,Maíz grano,13578.0,165.0,49716.0,3.66,215.33,10705438.0
1987,1,Aguascalientes,2,Riego,Tonelada,Papa,227.0,0.0,5400.0,23.79,450.81,2434352.0
1987,1,Aguascalientes,2,Riego,Tonelada,Pepino,7.0,1.0,143.0,20.43,74.58,10665.0
1987,1,Aguascalientes,2,Riego,Tonelada,Sorgo forrajero en verde,29.0,0.0,1090.0,37.59,13.37,14570.0
1987,1,Aguascalientes,2,Riego,Tonelada,Sorgo grano,636.0,124.0,3769.0,5.93,150.59,567579.0
1987,1,Aguascalientes,2,Riego,Tonelada,Tomate rojo (jitomate),23.0,0.0,436.0,18.96,206.67,90106.0
1987,1,Aguascalientes,2,Riego,Tonelada,Tomate verde,47.0,0.0,396.0,8.43,118.79,47040.0
1987,1,Aguascalientes,2,Temporal,Tonelada,Avena forrajera en verde,50.0,0.0,175.0,3.5,12.0,2100.0
1987,1,Aguascalientes,2,Temporal,Tonelada,Cebada forrajera en verde,0.0,25.0,0.0,0.0,0.0,0.0
1987,1,Aguascalientes,2,Temporal,Tonelada,Cebada grano,25.0,99.0,8.0,0.32,225.0,1800.0
1987,1,Aguascalientes,2,Temporal,Tonelada,Frijol,8476.0,13127.0,1018.0,0.12,476.84,485423.0
1987,1,Aguascalientes,2,Temporal,Tonelada,Girasol,0.0,25.0,0.0,0.0,0.0,0.0
1987,1,Aguascalientes,2,Temporal,Tonelada,Maíz forrajero en verde,10748.0,5871.0,110292.0,10.26,11.4,1257478.0
1987,1,Aguascalientes,2,Temporal,Tonelada,Maíz grano,18684.0,52592.0,6122.0,0.33,242.11,1482210.0
1987,1,Aguascalientes,2,Temporal,Tonelada,Mijo forrajero verde,0.0,19.0,0.0,0.0,0.0,0.0
1987,1,Aguascalientes,2,Temporal,Tonelada,Sorgo forrajero en verde,389.0,374.0,3036.0,7.8,14.6,44319.0
1987,1,Aguascalientes,2,Temporal,Tonelada,Sorgo grano,17.0,124.0,16.0,0.94,156.0,2496.0
1987,1,Aguascalientes,3,Riego,Tonelada,Aguacate,8.0,0.0,64.0,8.0,331.0,21184.0
1987,1,Aguascalientes,3,Riego,Tonelada,Alfalfa verde,7057.0,0.0,507467.0,71.91,11.47,5823128.0
1987,1,Aguascalientes,3,Riego,Tonelada,Chabacano,0.0,0.0,0.0,0.0,0.0,0.0
1987,1,Aguascalientes,3,Riego,Tonelada,Ciruela,11.0,0.0,46.0,4.18,500.0,23000.0
1987,1,Aguascalientes,3,Riego,Tonelada,Durazno,1347.0,0.0,12703.0,9.43,628.91,7989002.0
1987,1,Aguascalientes,3,Riego,Tonelada,Granada,10.0,0.0,60.0,6.0,150.0,9000.0
1987,1,Aguascalientes,3,Riego,Tonelada,Guayaba,5282.0,0.0,99836.0,18.9,186.19,18588764.0
1987,1,Aguascalientes,3,Riego,Tonelada,Lima,3.0,0.0,29.0,9.67,202.76,5880.0
1987,1,Aguascalientes,3,Riego,Tonelada,Limón,2.0,0.0,24.0,12.0,100.0,2400.0
1987,1,Aguascalientes,3,Riego,Tonelada,Manzana,2.0,0.0,21.0,10.5,386.29,8112.0
1987,1,Aguascalientes,3,Riego,Tonelada,Membrillo,8.0,0.0,77.0,9.63,244.16,18800.0
1987,1,Aguascalientes,3,Riego,Tonelada,Naranja,2.0,0.0,30.0,15.0,251.87,7556.0
1987,1,Aguascalientes,3,Riego,Tonelada,Nopalitos,88.0,0.0,2560.0,29.09,250.1,640255.0
1987,1,Aguascalientes,3,Riego,Tonelada,Nuez,138.0,0.0,95.0,0.69,864.66,82143.0
1987,1,Aguascalientes,3,Riego,Tonelada,Persimonio,7.0,0.0,46.0,6.57,617.39,28400.0
1987,1,Aguascalientes,3,Riego,Tonelada,Uva,4987.0,0.0,59682.0,11.97,139.83,8345121.0
1987,2,Baja California,1,Riego,Tonelada,Ajo,96.0,0.0,895.0,9.32,175.78,157325.0
1987,2,Baja California,1,Riego,Tonelada,Apio,11.0,0.0,170.0,15.45,264.71,45000.0
