Anio,Idestado,Nomestado,Idciclo,Idmodalidad,Nomcultivo,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
1981,1,Aguascalientes,1,1,Ajo,648.0,0.0,6171.0,9.52,9.8,60445.0
1981,1,Aguascalientes,1,1,Alpiste,3.0,0.0,2.0,0.67,11.5,23.0
1981,1,Aguascalientes,1,1,Avena forrajera en verde,1035.0,0.0,24290.0,23.47,0.67,16371.0
1981,1,Aguascalientes,1,1,Calabacita,53.0,141.0,212.0,4.0,4.0,848.0
1981,1,Aguascalientes,1,1,Cebada forrajera en verde,32.0,0.0,530.0,16.56,0.54,284.0
1981,1,Aguascalientes,1,1,Cebolla,119.0,0.0,1503.0,12.63,4.0,6012.0
1981,1,Aguascalientes,1,1,Chícharo,5.0,0.0,10.0,2.0,6.4,64.0
1981,1,Aguascalientes,1,1,Col (repollo),228.0,0.0,6629.0,29.07,2.31,15326.0
1981,1,Aguascalientes,1,1,Coliflor,99.0,0.0,1701.0,17.18,5.75,9781.0
1981,1,Aguascalientes,1,1,Haba grano,7.0,0.0,11.0,1.57,40.73,448.0
1981,1,Aguascalientes,1,1,Lechuga,4.0,0.0,17.0,4.25,5.12,87.0
1981,1,Aguascalientes,1,1,Trigo grano,165.0,0.0,584.0,3.54,4.49,2625.0
1981,1,Aguascalientes,2,1,Alpiste,19.0,0.0,18.0,0.95,9.89,178.0
1981,1,Aguascalientes,2,1,Avena forrajera en verde,64.0,5.0,1491.0,23.3,0.67,992.0
1981,1,Aguascalientes,2,1,Brócoli,40.0,0.0,1000.0,25.0,8.0,8000.0
1981,1,Aguascalientes,2,1,Calabacita,38.0,0.0,633.0,16.66,5.26,3331.0
1981,1,Aguascalientes,2,1,Camote,10.0,0.0,150.0,15.0,8.0,1200.0
1981,1,Aguascalientes,2,1,Cebada forrajera en verde,5.0,0.0,125.0,25.0,0.46,58.0
1981,1,Aguascalientes,2,1,Cebolla,48.0,0.0,904.0,18.83,4.52,4086.0
1981,1,Aguascalientes,2,1,Chile verde,2667.0,555.0,18302.0,6.86,9.06,165872.0
1981,1,Aguascalientes,2,1,Cilantro,3.0,0.0,6.0,2.0,17.0,102.0
1981,1,Aguascalientes,2,1,Col (repollo),99.0,0.0,2518.0,25.43,3.53,8878.0
1981,1,Aguascalientes,2,1,Coliflor,157.0,0.0,3146.0,20.04,6.9,21717.0
1981,1,Aguascalientes,2,1,Ejote,10.0,0.0,40.0,4.0,8.0,320.0
1981,1,Aguascalientes,2,1,Elote,23.0,5.0,176.0,7.65,5.56,978.0
1981,1,Aguascalientes,2,1,Frijol,9822.0,1026.0,14744.0,1.5,13.56,199929.0
1981,1,Aguascalientes,2,1,Girasol,70.0,0.0,140.0,2.0,12.2,1708.0
1981,1,Aguascalientes,2,1,Lechuga,9.0,0.0,153.0,17.0,1.66,254.0
1981,1,Aguascalientes,2,1,Maíz forrajero en verde,3940.0,0.0,140704.0,35.71,0.58,81083.0
1981,1,Aguascalientes,2,1,Maíz grano,8441.0,669.0,27443.0,3.25,6.38,175169.0
1981,1,Aguascalientes,2,1,Papa,134.0,3.0,3575.0,26.68,13.91,49735.0
1981,1,Aguascalientes,2,1,Sorgo forrajero en verde,61.0,11.0,1365.0,22.38,0.76,1034.0
1981,1,Aguascalientes,2,1,Sorgo grano,848.0,0.0,4383.0,5.17,4.14,18128.0
