Anio,Idestado,Nomestado,Idciclo,Idmodalidad,Nomcultivo,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
2001,6,Colima,2,2,Okra (angú o gombo),3.0,0.0,9.0,3.0,9000.0,81000.0
2001,6,Colima,2,2,Pepino,35.5,8.0,496.0,13.97,1614.46,800773.74
2001,6,Colima,2,2,Sandía,11.0,0.0,165.0,15.0,2000.0,330000.0
2001,6,Colima,2,2,Sorgo forrajero en verde,2081.8,15.0,39919.0,19.18,296.13,11821321.88
2001,6,Colima,2,2,Sorgo grano,1343.3,226.5,4209.9,3.13,1207.91,5085191.84
2001,6,Colima,2,2,Tomate rojo (jitomate),43.0,0.0,553.0,12.86,3083.31,1705067.9
2001,6,Colima,2,2,Tomate verde,11.0,0.0,78.5,7.14,2697.76,211774.5
2001,6,Colima,2,2,Pastos y praderas,8.0,0.0,20.0,2.5,250.0,5000.0
2001,6,Colima,3,1,Agave,0.0,0.0,0.0,0.0,0.0,0.0
2001,6,Colima,3,1,Café cereza,181.0,0.0,251.0,1.39,1847.01,463599.51
2001,6,Colima,3,1,Caña de azúcar,1927.0,0.0,159675.82,82.86,286.29,45713590.51
2001,6,Colima,3,1,Caña de azúcar piloncillo,3.0,0.0,210.0,70.0,160.0,33600.0
2001,6,Colima,3,1,Caña de azúcar forrajera,23.0,0.0,3045.0,132.39,199.01,605985.45
2001,6,Colima,3,1,Carambolo,14.0,0.0,422.0,30.14,12969.19,5472998.18
2001,6,Colima,3,1,Ciruela,2.0,0.0,14.0,7.0,2142.86,30000.04
2001,6,Colima,3,1,Copra,22013.0,0.0,34059.55,1.55,2748.55,93614358.95
2001,6,Colima,3,1,Frambuesa,5.0,0.0,58.2,11.64,12000.0,698400.0
2001,6,Colima,3,1,Guanábana,196.0,0.0,1861.0,9.49,3589.84,6680684.64
2001,6,Colima,3,1,Guayaba,11.0,0.0,99.0,9.0,4418.18,437399.82
2001,6,Colima,3,1,Leucaena,9.0,0.0,158.0,17.56,208.73,32979.34
2001,6,Colima,3,1,Lima,11.0,0.0,244.0,22.18,1138.52,277798.13
2001,6,Colima,3,1,Limón,29239.83,0.0,499262.42,17.07,939.19,468900862.52
2001,6,Colima,3,1,Litchi,0.0,0.0,0.0,0.0,0.0,0.0
2001,6,Colima,3,1,Mamey,2.0,0.0,14.0,7.0,1500.0,21000.0
2001,6,Colima,3,1,Mango,3269.0,0.0,49063.4,15.01,1580.64,77551390.47
2001,6,Colima,3,1,Naranja,370.0,0.0,6090.0,16.46,1464.95,8921570.53
2001,6,Colima,3,1,Nopalitos,6.0,0.0,197.0,32.83,1031.47,203200.04
