Anio,Idestado,Nomestado,Idciclo,Idmodalidad,Nomcultivo,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
2000,1,Aguascalientes,1,1,Ajo,509.0,0.0,4065.0,7.99,3037.2,12346218.0
2000,1,Aguascalientes,1,1,Avena forrajera en verde,3353.0,20.0,75162.0,22.42,329.6,24773395.2
2000,1,Aguascalientes,1,1,Brócoli,271.0,0.0,2743.6,10.12,2524.4,6925943.84
2000,1,Aguascalientes,1,1,Cebada forrajera en verde,21.0,0.0,392.91,18.71,400.0,157164.0
2000,1,Aguascalientes,1,1,Cebada grano,5.0,0.0,6.0,1.2,1800.0,10800.0
2000,1,Aguascalientes,1,1,Cebolla,22.0,0.0,374.0,17.0,581.8,217593.2
2000,1,Aguascalientes,1,1,Chícharo,3.0,0.0,12.0,4.0,3000.0,36000.0
2000,1,Aguascalientes,1,1,Cilantro,13.0,0.0,165.0,12.69,1072.7,176995.5
2000,1,Aguascalientes,1,1,Col (repollo),74.0,0.0,2289.56,30.94,1174.7,2689546.13
2000,1,Aguascalientes,1,1,Coliflor,159.0,0.0,1900.0,11.95,1504.0,2857600.0
2000,1,Aguascalientes,1,1,Ebo (janamargo o veza),6.0,0.0,150.0,25.0,400.0,60000.0
2000,1,Aguascalientes,1,1,Espinaca,90.0,0.0,1621.0,18.01,2451.1,3973233.1
2000,1,Aguascalientes,1,1,Lechuga,125.0,0.0,2310.0,18.48,1500.0,3465000.0
2000,1,Aguascalientes,1,1,Rábano,2.0,0.0,12.0,6.0,1500.0,18000.0
2000,1,Aguascalientes,1,1,Zanahoria,125.0,0.0,2054.0,16.43,1353.3,2779678.2
2000,1,Aguascalientes,1,1,Pastos y praderas,1630.0,0.0,94606.83,58.04,375.3,35505943.3
2000,1,Aguascalientes,2,1,Avena forrajera en verde,109.0,0.0,2518.0,23.1,325.7,820112.6
2000,1,Aguascalientes,2,1,Brócoli,134.0,1.0,1439.0,10.74,2845.8,4095106.2
2000,1,Aguascalientes,2,1,Cacahuate,2.0,0.0,4.4,2.2,4000.0,17600.0
2000,1,Aguascalientes,2,1,Calabacita,152.0,0.0,2505.0,16.48,1508.5,3778792.5
2000,1,Aguascalientes,2,1,Calabaza,3.0,0.0,3.6,1.2,3000.0,10800.0
2000,1,Aguascalientes,2,1,Camote,25.0,0.0,700.0,28.0,1200.0,840000.0
2000,1,Aguascalientes,2,1,Cebada forrajera en verde,2.0,0.0,70.0,35.0,300.0,21000.0
