Anio,Idestado,Nomestado,Idciclo,Nommodalidad,Nomunidad,Nomcultivo,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
1986,3,Baja California Sur,3,Riego,Tonelada,Higo,240.0,0.0,909.0,3.79,188.61,171446.0
1986,3,Baja California Sur,3,Riego,Tonelada,Jojoba,0.0,0.0,0.0,0.0,0.0,0.0
1986,3,Baja California Sur,3,Riego,Tonelada,Mango,194.0,0.0,578.0,2.98,71.55,41356.0
1986,3,Baja California Sur,3,Riego,Tonelada,Manzana,13.0,0.0,20.0,1.54,300.0,6000.0
1986,3,Baja California Sur,3,Riego,Tonelada,Naranja,357.0,0.0,4943.0,13.85,46.07,227724.0
1986,3,Baja California Sur,3,Riego,Tonelada,Papaya,3.0,0.0,9.0,3.0,171.11,1540.0
1986,3,Baja California Sur,3,Riego,Tonelada,Uva,718.0,0.0,842.0,1.17,218.55,184019.0
1986,3,Baja California Sur,3,Riego,Tonelada,Pastos y praderas,1014.0,0.0,28898.0,28.5,7.11,205581.0
1986,4,Campeche,1,Riego,Tonelada,Calabaza,17.0,2.0,138.0,8.12,47.4,6541.0
1986,4,Campeche,1,Riego,Tonelada,Chile verde,52.0,0.0,227.0,4.37,350.0,79450.0
1986,4,Campeche,1,Riego,Tonelada,Frijol,2.0,0.0,2.0,1.0,155.0,310.0
1986,4,Campeche,1,Riego,Tonelada,Hortalizas,11.0,0.0,78.0,7.09,47.91,3737.0
1986,4,Campeche,1,Riego,Tonelada,Maíz grano,92.0,2.0,234.0,2.54,53.3,12472.0
1986,4,Campeche,1,Riego,Tonelada,Melón,5.0,2.0,50.0,10.0,45.0,2250.0
1986,4,Campeche,1,Riego,Tonelada,Sandía,81.0,4.0,808.0,9.98,63.03,50925.0
1986,4,Campeche,1,Riego,Tonelada,Sorgo grano,2.0,0.0,6.0,3.0,49.0,294.0
1986,4,Campeche,1,Riego,Tonelada,Tomate rojo (jitomate),65.0,3.0,708.0,10.89,63.44,44912.0
1986,4,Campeche,1,Temporal,Tonelada,Frijol,485.0,109.0,280.0,0.58,155.0,43400.0
1986,4,Campeche,1,Temporal,Tonelada,Maíz grano,31.0,2.0,28.0,0.9,53.29,1492.0
1986,4,Campeche,1,Temporal,Tonelada,Sorgo grano,1064.0,1188.0,942.0,0.89,49.0,46158.0
1986,4,Campeche,2,Riego,Tonelada,Calabaza,9.0,0.0,54.0,6.0,41.78,2256.0
1986,4,Campeche,2,Riego,Tonelada,Hortalizas,11.0,0.0,66.0,6.0,34.79,2296.0
1986,4,Campeche,2,Riego,Tonelada,Maíz grano,66.0,16.0,139.0,2.11,95.95,13337.0
1986,4,Campeche,2,Riego,Tonelada,Melón,4.0,1.0,27.0,6.75,49.0,1323.0
1986,4,Campeche,2,Riego,Tonelada,Sandía,32.0,2.0,279.0,8.72,64.78,18075.0
1986,4,Campeche,2,Riego,Tonelada,Sorgo grano,5.0,0.0,9.0,1.8,49.0,441.0
1986,4,Campeche,2,Riego,Tonelada,Tomate verde,23.0,1.0,202.0,8.78,63.43,12813.0
1986,4,Campeche,2,Temporal,Tonelada,Algodón hueso,666.0,60.0,1263.0,1.9,440.0,555720.0
1986,4,Campeche,2,Temporal,Tonelada,Arroz palay,31631.0,49553.0,65866.0,2.08,96.8,6375828.0
1986,4,Campeche,2,Temporal,Tonelada,Cacahuate,61.0,8.0,48.0,0.79,400.0,19200.0
1986,4,Campeche,2,Temporal,Tonelada,Calabaza semilla o chihua,810.0,0.0,247.0,0.3,550.0,135850.0
1986,4,Campeche,2,Temporal,Tonelada,Chile verde,286.0,34.0,1181.0,4.13,585.33,691279.0
