Anio,Idestado,Nomestado,Idciclo,Idmodalidad,Idcultivo,Nomcultivo,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
1982,1,Aguascalientes,1,1,5070000,Ajo,552.0,0.0,5567.0,10.09,36.77,204671.0
1982,1,Aguascalientes,1,1,5270000,Alpiste,51.0,0.0,62.0,1.22,45.1,2796.0
1982,1,Aguascalientes,1,1,5490000,Avena forrajera en verde,1469.0,2.0,26046.0,17.73,0.9,23389.0
1982,1,Aguascalientes,1,1,5670000,Brócoli,105.0,0.0,1846.0,17.58,6.94,12820.0
1982,1,Aguascalientes,1,1,5740000,Calabacita,45.0,2.0,283.0,6.29,8.94,2530.0
1982,1,Aguascalientes,1,1,5900000,Cebada forrajera en verde,123.0,0.0,2460.0,20.0,0.75,1845.0
1982,1,Aguascalientes,1,1,5920000,Cebada grano,3.0,0.0,6.0,2.0,5.83,35.0
1982,1,Aguascalientes,1,1,5940000,Cebolla,45.0,4.0,1038.0,23.07,14.85,15415.0
1982,1,Aguascalientes,1,1,6310000,Col (repollo),201.0,0.0,5724.0,28.48,2.3,13165.0
1982,1,Aguascalientes,1,1,6320000,Col de bruselas,71.0,0.0,713.0,10.04,16.0,11408.0
1982,1,Aguascalientes,1,1,6330000,Coliflor,136.0,0.0,2171.0,15.96,7.65,16615.0
1982,1,Aguascalientes,1,1,6540000,Ebo (janamargo o veza),18.0,0.0,640.0,35.56,0.8,512.0
1982,1,Aguascalientes,1,1,7330000,Lechuga,3.0,0.0,53.0,17.67,4.13,219.0
1982,1,Aguascalientes,1,1,9050000,Trigo grano,85.0,0.0,305.0,3.59,5.58,1702.0
1982,1,Aguascalientes,1,1,9270000,Zanahoria,5.0,0.0,131.0,26.2,6.5,852.0
1982,1,Aguascalientes,2,1,5270000,Alpiste,6.0,0.0,8.0,1.33,50.0,400.0
1982,1,Aguascalientes,2,1,5490000,Avena forrajera en verde,31.0,27.0,572.0,18.45,0.59,335.0
1982,1,Aguascalientes,2,1,5670000,Brócoli,179.0,0.0,3059.0,17.09,9.02,27598.0
1982,1,Aguascalientes,2,1,5740000,Calabacita,96.0,6.0,1503.0,15.66,5.43,8161.0
1982,1,Aguascalientes,2,1,5790000,Camote,26.0,12.0,408.0,15.69,6.05,2470.0
1982,1,Aguascalientes,2,1,5900000,Cebada forrajera en verde,114.0,0.0,1710.0,15.0,0.9,1539.0
1982,1,Aguascalientes,2,1,5940000,Cebolla,33.0,26.0,343.0,10.39,8.25,2829.0
1982,1,Aguascalientes,2,1,6070000,Chícharo,6.0,0.0,11.0,1.83,17.18,189.0
1982,1,Aguascalientes,2,1,6120000,Chile verde,2162.0,138.0,18184.0,8.41,11.68,212332.0
1982,1,Aguascalientes,2,1,6190000,Cilantro,7.0,1.0,21.0,3.0,18.0,378.0
1982,1,Aguascalientes,2,1,6310000,Col (repollo),181.0,2.0,5582.0,30.84,3.59,20045.0
1982,1,Aguascalientes,2,1,6320000,Col de bruselas,54.0,2.0,672.0,12.44,14.65,9845.0
1982,1,Aguascalientes,2,1,6330000,Coliflor,189.0,3.0,2385.0,12.62,8.85,21098.0
1982,1,Aguascalientes,2,1,6600000,Ejote,2.0,0.0,9.0,4.5,9.89,89.0
