Anio,Idestado,Nomestado,Idciclo,Idmodalidad,Idcultivo,Nomcultivo,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
1980,1,Aguascalientes,1,1,5070000,Ajo,1031.0,0.0,8926.0,8.66,7.0,62482.0
1980,1,Aguascalientes,1,1,5490000,Avena forrajera en verde,711.0,4.0,10757.0,15.13,0.56,5981.0
1980,1,Aguascalientes,1,1,5670000,Brócoli,30.0,0.0,200.0,6.67,4.0,800.0
1980,1,Aguascalientes,1,1,5740000,Calabacita,9.0,0.0,45.0,5.0,4.0,180.0
1980,1,Aguascalientes,1,1,5900000,Cebada forrajera en verde,17.0,0.0,223.0,13.12,0.55,123.0
1980,1,Aguascalientes,1,1,5920000,Cebada grano,4.0,0.0,6.0,1.5,6.0,36.0
1980,1,Aguascalientes,1,1,5940000,Cebolla,72.0,0.0,824.0,11.44,5.49,4520.0
1980,1,Aguascalientes,1,1,6070000,Chícharo,8.0,0.0,25.0,3.13,5.16,129.0
1980,1,Aguascalientes,1,1,6310000,Col (repollo),133.0,0.0,2019.0,15.18,0.94,1906.0
1980,1,Aguascalientes,1,1,6320000,Col de bruselas,100.0,0.0,890.0,8.9,5.5,4895.0
1980,1,Aguascalientes,1,1,6330000,Coliflor,106.0,0.0,946.0,8.92,5.59,5287.0
1980,1,Aguascalientes,1,1,7330000,Lechuga,0.0,5.0,0.0,0.0,0.0,0.0
1980,1,Aguascalientes,1,1,9050000,Trigo grano,9.0,0.0,14.0,1.56,5.79,81.0
1980,1,Aguascalientes,2,1,5490000,Avena forrajera en verde,122.0,0.0,1673.0,13.71,0.63,1062.0
1980,1,Aguascalientes,2,1,5670000,Brócoli,240.0,0.0,2123.0,8.85,6.37,13534.0
1980,1,Aguascalientes,2,1,5740000,Calabacita,244.0,0.0,3634.0,14.89,3.4,12356.0
1980,1,Aguascalientes,2,1,5790000,Camote,3.0,0.0,22.0,7.33,5.0,110.0
1980,1,Aguascalientes,2,1,5900000,Cebada forrajera en verde,7.0,0.0,123.0,17.57,0.7,86.0
1980,1,Aguascalientes,2,1,5940000,Cebolla,95.0,6.0,839.0,8.83,3.7,3104.0
1980,1,Aguascalientes,2,1,6120000,Chile verde,2746.0,17.0,22356.0,8.14,7.92,177059.0
1980,1,Aguascalientes,2,1,6310000,Col (repollo),202.0,4.0,3005.0,14.88,3.14,9424.0
1980,1,Aguascalientes,2,1,6320000,Col de bruselas,29.0,1.0,145.0,5.0,8.5,1233.0
1980,1,Aguascalientes,2,1,6330000,Coliflor,102.0,0.0,788.0,7.73,5.34,4210.0
1980,1,Aguascalientes,2,1,6600000,Ejote,2.0,0.0,2.0,1.0,7.0,14.0
1980,1,Aguascalientes,2,1,6840000,Frijol,7589.0,133.0,11204.0,1.48,22.36,250533.0
1980,1,Aguascalientes,2,1,6940000,Girasol,180.0,0.0,382.0,2.12,7.89,3014.0
1980,1,Aguascalientes,2,1,7330000,Lechuga,7.0,0.0,70.0,10.0,1.0,70.0
1980,1,Aguascalientes,2,1,7470000,Maíz forrajero en verde,3080.0,0.0,133943.0,43.49,0.57,76615.0
1980,1,Aguascalientes,2,1,7490000,Maíz grano,14457.0,230.0,42916.0,2.97,5.25,225395.0
1980,1,Aguascalientes,2,1,8100000,Papa,71.0,0.0,1918.0,27.01,4.36,8364.0
1980,1,Aguascalientes,2,1,8790000,Sorgo forrajero en verde,5.0,0.0,240.0,48.0,0.44,106.0
1980,1,Aguascalientes,2,1,8810000,Sorgo grano,853.0,0.0,6198.0,7.27,4.12,25536.0
1980,1,Aguascalientes,2,1,8970000,Tomate rojo (jitomate),55.0,0.0,1005.0,18.27,11.95,12012.0
1980,1,Aguascalientes,2,1,8980000,Tomate verde,20.0,2.0,236.0,11.8,9.9,2336.0
1980,1,Aguascalientes,2,1,9050000,Trigo grano,45.0,0.0,81.0,1.8,3.72,301.0
1980,1,Aguascalientes,2,2,5490000,Avena forrajera en verde,116.0,0.0,740.0,6.38,0.5,370.0
1980,1,Aguascalientes,2,2,6840000,Frijol,7118.0,12777.0,1182.0,0.17,20.0,23640.0
1980,1,Aguascalientes,2,2,7490000,Maíz grano,22523.0,62194.0,7023.0,0.31,5.25,36871.0
1980,1,Aguascalientes,2,2,8790000,Sorgo forrajero en verde,350.0,0.0,5300.0,15.14,0.44,2327.0
1980,1,Aguascalientes,2,2,9050000,Trigo grano,50.0,0.0,15.0,0.3,3.67,55.0
1980,1,Aguascalientes,3,1,5170000,Alfalfa verde,3606.0,0.0,208884.0,57.93,0.65,135357.0
1980,1,Aguascalientes,3,1,6020000,Chabacano,6.0,0.0,72.0,12.0,15.0,1080.0
1980,1,Aguascalientes,3,1,6530000,Durazno,1981.0,0.0,19656.0,9.92,10.08,198113.0
1980,1,Aguascalientes,3,1,7060000,Guayaba,10113.0,0.0,194837.0,19.27,3.29,641403.0
1980,1,Aguascalientes,3,1,7690000,Membrillo,7.0,0.0,98.0,14.0,4.8,470.0
1980,1,Aguascalientes,3,1,7960000,Nuez,0.0,0.0,0.0,0.0,0.0,0.0
1980,1,Aguascalientes,3,1,9130000,Uva,10243.0,0.0,120838.0,11.8,5.91,714515.0
1980,1,Aguascalientes,3,1,15050000,Pastos y praderas,312.0,0.0,12730.0,40.8,0.35,4455.0
1980,2,Baja California,1,1,5070000,Ajo,311.0,0.0,2812.0,9.04,10.68,30039.0
