Anio,Idestado,Nomestado,Idciclo,Nommodalidad,Nomunidad,Nomcultivo,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
1983.0,1.0,Aguascalientes,1.0,Riego,Tonelada,Ajo,866.0,0.0,8503.0,9.82,34.21,290913.0
1983.0,1.0,Aguascalientes,1.0,Riego,Tonelada,Alpiste,205.0,8.0,164.0,0.8,36.4,5969.0
1983.0,1.0,Aguascalientes,1.0,Riego,Tonelada,Avena forrajera en verde,3098.0,73.0,64968.0,20.97,1.72,111615.0
1983.0,1.0,Aguascalientes,1.0,Riego,Tonelada,Brócoli,85.0,30.0,1013.0,11.92,10.45,10590.0
1983.0,1.0,Aguascalientes,1.0,Riego,Tonelada,Calabacita,1.0,2.0,10.0,10.0,9.0,90.0
1983.0,1.0,Aguascalientes,1.0,Riego,Tonelada,Cebada forrajera en verde,156.0,0.0,4272.0,27.38,1.19,5071.0
1983.0,1.0,Aguascalientes,1.0,Riego,Tonelada,Cebolla,47.0,14.0,580.0,12.34,17.15,9949.0
1983.0,1.0,Aguascalientes,1.0,Riego,Tonelada,Chícharo,6.0,1.0,21.0,3.5,44.05,925.0
1983.0,1.0,Aguascalientes,1.0,Riego,Tonelada,Cilantro,3.0,0.0,22.0,7.33,12.5,275.0
1983.0,1.0,Aguascalientes,1.0,Riego,Tonelada,Col (repollo),179.0,5.0,5773.0,32.25,4.08,23577.0
1983.0,1.0,Aguascalientes,1.0,Riego,Tonelada,Col de bruselas,2.0,0.0,16.0,8.0,16.5,264.0
1983.0,1.0,Aguascalientes,1.0,Riego,Tonelada,Coliflor,164.0,51.0,1848.0,11.27,13.79,25480.0
1983.0,1.0,Aguascalientes,1.0,Riego,Tonelada,Ebo (janamargo o veza),50.0,0.0,258.0,5.16,2.45,631.0
1983.0,1.0,Aguascalientes,1.0,Riego,Tonelada,Lechuga,2.0,2.0,60.0,30.0,4.6,276.0
1983.0,1.0,Aguascalientes,1.0,Riego,Tonelada,Trigo forrajero verde,24.0,0.0,400.0,16.67,1.25,500.0
1983.0,1.0,Aguascalientes,1.0,Riego,Tonelada,Trigo grano,74.0,1.0,289.0,3.91,14.0,4046.0
1983.0,1.0,Aguascalientes,1.0,Riego,Tonelada,Zanahoria,1.0,3.0,24.0,24.0,6.5,156.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Alpiste,20.0,0.0,10.0,0.5,67.7,677.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Avena forrajera en verde,113.0,5.0,2142.0,18.96,2.09,4472.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Brócoli,97.0,0.0,1289.0,13.29,19.57,25223.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Calabacita,117.0,6.0,2468.0,21.09,14.11,34816.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Cebolla,23.0,22.0,302.0,13.13,12.96,3915.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Chícharo,2.0,0.0,4.0,2.0,22.0,88.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Chile verde,631.0,17.0,3399.0,5.39,17.55,59666.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Cilantro,3.0,0.0,21.0,7.0,25.0,525.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Col (repollo),100.0,2.0,3868.0,38.68,3.47,13441.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Coliflor,9.0,0.0,99.0,11.0,18.0,1782.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Elote,25.0,1.0,372.0,14.88,12.3,4576.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Frijol,2366.0,153.0,4268.0,1.8,32.2,137442.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Girasol,2.0,1.0,5.0,2.5,30.6,153.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Maíz forrajero en verde,3458.0,0.0,109146.0,31.56,1.61,176162.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Maíz grano,6137.0,38.0,22163.0,3.61,14.37,318549.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Papa,165.0,1.0,4486.0,27.19,28.66,128551.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Pepino,28.0,8.0,484.0,17.29,22.15,10720.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Sorgo forrajero en verde,89.0,0.0,2414.0,27.12,2.03,4908.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Sorgo grano,359.0,0.0,1439.0,4.01,10.42,14990.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Tomate rojo (jitomate),26.0,2.0,240.0,9.23,18.5,4441.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Tomate verde,42.0,0.0,685.0,16.31,27.59,18902.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Trigo grano,7.0,0.0,18.0,2.57,13.11,236.0
1983.0,1.0,Aguascalientes,2.0,Riego,Tonelada,Zanahoria,7.0,0.0,192.0,27.43,15.2,2918.0
1983.0,1.0,Aguascalientes,2.0,Temporal,Tonelada,Avena forrajera en verde,5.0,0.0,15.0,3.0,1.8,27.0
1983.0,1.0,Aguascalientes,2.0,Temporal,Tonelada,Frijol,17565.0,1603.0,3617.0,0.21,29.65,107240.0
1983.0,1.0,Aguascalientes,2.0,Temporal,Tonelada,Maíz forrajero en verde,689.0,0.0,12455.0,18.08,1.75,21746.0
1983.0,1.0,Aguascalientes,2.0,Temporal,Tonelada,Maíz grano,86507.0,12965.0,50041.0,0.58,18.42,921755.0
1983.0,1.0,Aguascalientes,2.0,Temporal,Tonelada,Sorgo forrajero en verde,244.0,0.0,3918.0,16.06,4.0,15672.0
1983.0,1.0,Aguascalientes,2.0,Temporal,Tonelada,Sorgo grano,29.0,0.0,61.0,2.1,11.23,685.0
1983.0,1.0,Aguascalientes,3.0,Riego,Tonelada,Aguacate,8.0,0.0,36.0,4.5,83.33,3000.0
1983.0,1.0,Aguascalientes,3.0,Riego,Tonelada,Alfalfa verde,5203.0,0.0,309753.0,59.53,1.59,493437.0
1983.0,1.0,Aguascalientes,3.0,Riego,Tonelada,Chabacano,6.0,0.0,30.0,5.0,25.0,750.0
1983.0,1.0,Aguascalientes,3.0,Riego,Tonelada,Durazno,1226.0,0.0,12681.0,10.34,44.02,558256.0
1983.0,1.0,Aguascalientes,3.0,Riego,Tonelada,Guayaba,5041.0,0.0,87763.0,17.41,18.4,1615278.0
1983.0,1.0,Aguascalientes,3.0,Riego,Tonelada,Membrillo,2.0,0.0,6.0,3.0,20.0,120.0
1983.0,1.0,Aguascalientes,3.0,Riego,Tonelada,Nuez,85.0,0.0,61.0,0.72,134.82,8224.0
1983.0,1.0,Aguascalientes,3.0,Riego,Tonelada,Uva,7842.0,0.0,89532.0,11.42,17.51,1567616.0
1983.0,1.0,Aguascalientes,3.0,Riego,Tonelada,Pastos y praderas,471.0,0.0,14528.0,30.85,1.52,22083.0
1983.0,2.0,Baja California,1.0,Riego,Tonelada,Ajo,107.0,24.0,850.0,7.94,50.0,42500.0
1983.0,2.0,Baja California,1.0,Riego,Tonelada,Avena forrajera en verde,447.0,0.0,14692.0,32.87,1.2,17630.0
1983.0,2.0,Baja California,1.0,Riego,Tonelada,Brócoli,14.0,0.0,108.0,7.71,14.55,1571.0
1983.0,2.0,Baja California,1.0,Riego,Tonelada,Calabacita,358.0,106.0,4092.0,11.43,15.16,62039.0
1983.0,2.0,Baja California,1.0,Riego,Tonelada,Cártamo,1739.0,58.0,4219.0,2.43,24.68,104125.0
1983.0,2.0,Baja California,1.0,Riego,Tonelada,Cebada forrajera en verde,1016.0,0.0,15706.0,15.46,1.87,29355.0
1983.0,2.0,Baja California,1.0,Riego,Tonelada,Cebada grano,15713.0,1852.0,47395.0,3.02,12.67,600258.0
1983.0,2.0,Baja California,1.0,Riego,Tonelada,Cebolla,1376.0,34.0,21442.0,15.58,31.29,670942.0
1983.0,2.0,Baja California,1.0,Riego,Tonelada,Chayote,2.0,0.0,40.0,20.0,20.0,800.0
1983.0,2.0,Baja California,1.0,Riego,Tonelada,Chícharo,73.0,2.0,118.0,1.62,29.68,3502.0
1983.0,2.0,Baja California,1.0,Riego,Tonelada,Chile verde,26.0,0.0,325.0,12.5,42.15,13700.0
1983.0,2.0,Baja California,1.0,Riego,Tonelada,Cilantro,88.0,7.0,558.0,6.34,38.64,21559.0
1983.0,2.0,Baja California,1.0,Riego,Tonelada,Col (repollo),56.0,8.0,1524.0,27.21,7.0,10668.0
1983.0,2.0,Baja California,1.0,Riego,Tonelada,Col de bruselas,231.0,0.0,2599.0,11.25,29.92,77770.0
1983.0,2.0,Baja California,1.0,Riego,Tonelada,Coliflor,3.0,1.0,36.0,12.0,28.0,1008.0
1983.0,2.0,Baja California,1.0,Riego,Tonelada,Espinaca,42.0,1.0,378.0,9.0,8.0,3024.0
1983.0,2.0,Baja California,1.0,Riego,Tonelada,Frijol,2.0,0.0,1.0,0.5,29.0,29.0
1983.0,2.0,Baja California,1.0,Riego,Tonelada,Haba grano,12.0,0.0,26.0,2.17,19.0,494.0
