Anio,Idestado,Nomestado,Idciclo,Idmodalidad,Idcultivo,Nomcultivo,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
1996,1,Aguascalientes,1,1,5070000,Ajo,961.0,0.0,9227.0,9.6,5908.6,54518652.2
1996,1,Aguascalientes,1,1,5490000,Avena forrajera en verde,1319.0,0.0,34740.2,26.34,147.5,5124179.5
1996,1,Aguascalientes,1,1,5510000,Avena grano,70.0,0.0,140.0,2.0,2120.0,296800.0
1996,1,Aguascalientes,1,1,5670000,Brócoli,227.0,0.0,2051.4,9.04,1799.4,3691289.16
1996,1,Aguascalientes,1,1,5940000,Cebolla,68.0,0.0,1175.1,17.28,1304.7,1533152.97
1996,1,Aguascalientes,1,1,6070000,Chícharo,33.0,0.0,162.0,4.91,1612.1,261160.2
1996,1,Aguascalientes,1,1,6190000,Cilantro,15.0,0.0,75.0,5.0,1320.0,99000.0
1996,1,Aguascalientes,1,1,6310000,Col (repollo),114.0,0.0,3943.2,34.59,509.0,2007088.8
1996,1,Aguascalientes,1,1,6330000,Coliflor,115.0,0.0,1369.2,11.91,1540.7,2109526.44
1996,1,Aguascalientes,1,1,6670000,Espinaca,27.0,0.0,365.0,13.52,2000.0,730000.0
1996,1,Aguascalientes,1,1,7100000,Haba grano,2.0,0.0,4.0,2.0,12000.0,48000.0
1996,1,Aguascalientes,1,1,7330000,Lechuga,102.0,0.0,1845.5,18.09,575.7,1062454.35
1996,1,Aguascalientes,1,1,8490000,Rábano,5.0,0.0,38.0,7.6,980.0,37240.0
1996,1,Aguascalientes,1,1,9050000,Trigo grano,225.0,0.0,671.0,2.98,1900.0,1274900.0
1996,1,Aguascalientes,1,1,9270000,Zanahoria,35.0,0.0,414.3,11.84,839.0,347597.7
1996,1,Aguascalientes,1,1,15050000,Pastos y praderas,1989.0,0.0,113224.0,56.93,155.6,17617654.4
1996,1,Aguascalientes,2,1,5490000,Avena forrajera en verde,44.0,0.0,1211.0,27.52,266.0,322126.0
1996,1,Aguascalientes,2,1,5670000,Brócoli,269.0,0.0,3338.1,12.41,1800.0,6008580.0
1996,1,Aguascalientes,2,1,5690000,Cacahuate,12.0,0.0,36.0,3.0,7895.0,284220.0
1996,1,Aguascalientes,2,1,5740000,Calabacita,330.0,0.0,5954.1,18.04,990.4,5896940.64
1996,1,Aguascalientes,2,1,5790000,Camote,36.0,0.0,540.2,15.01,1005.8,543333.16
1996,1,Aguascalientes,2,1,5940000,Cebolla,55.0,0.0,1000.9,18.2,1492.8,1494143.52
1996,1,Aguascalientes,2,1,6070000,Chícharo,17.0,0.0,85.9,5.05,1157.7,99446.43
1996,1,Aguascalientes,2,1,6120000,Chile verde,1346.0,0.0,9827.0,7.3,2341.06,23005618.48
